Darkling elder,450,Fey,Medium,CN
Death worm,700,Monstrosity,Large,Un
Decapus,450,Aberration,Medium,CE
Deinonychus,200,Beast,Medium,Un
Denizen of leng,1800,Aberration,Medium,CE
Dire wolf,200,Beast,Large,Un
Displacer beast,700,Monstrosity,Large,LE
Domovoi,1100,Fey,Medium,CN
Dryad,200,Fey,Medium,N
Duskthorn dryad,700,Fey,Medium,Any-C
Eblis,100,Monstrosity,Medium,NE
Eel hound,450,Fey,Medium,N
Elder shadow drake,2900,Dragon,Large,CE
Elk,50,Beast,Large,Un
Elusa hound,200,Monstrosity,Medium,Un
Encephalon gorger,1100,Aberration,Medium,CE
Erina defender,200,Humanoid,Small,N
Erina scrounger,50,Humanoid,Small,N
Eternal flame guardian,450,Humanoid,Medium,CE
Eternal flame priest,700,Humanoid,Medium,NE
Ettercap,450,Monstrosity,Medium,NE
"Faerie dragon (green, blue, indigo, violet)",450,Dragon,Tiny,CG
"Faerie dragon (red, orange, yellow)",200,Dragon,Tiny,CG
Far darrig,700,Fey,Small,N
Fathomer,450,Humanoid,Medium,NE
Feyward tree,3900,Construct,Huge,Un
Flab giant,1100,Giant,Large,CE
Flamewrath,2300,Humanoid,Medium,CE
Flowershroud,200,Plant,Large,Un
Flying ape,450,Monstrosity,Large,CN
Flying snake,25,Beast,Tiny,Un
Forest marauder,1100,Giant,Large,CE
Forester's bane,1800,Plant,Large,Un
Foxwere,100,Monstrosity,Small,LE
Fungus gargoyle,700,Plant,Medium,NE
Fyr,50,Fey,Small,N
Gallows tree,10000,Plant,Huge,Un
Gallows tree zombie,450,Plant,Medium,Un
Gerridae,200,Fey,Large,N
Giant ape,2900,Beast,Huge,Un
Giant badger,50,Beast,Medium,Un
Giant bat,50,Beast,Large,Un
Giant beetle exoskeleton,450,Construct,Large,Un
Giant boar,450,Beast,Large,Un
Giant constrictor snake,450,Beast,Huge,Un
Giant crab exoskeleton,700,Construct,Large,Un
Giant elk,450,Beast,Huge,Un
Giant frog,50,Beast,Medium,Un
Giant hyena,200,Beast,Large,Un
Giant lizard,50,Beast,Large,Un
Giant owl,50,Beast,Large,N
Giant rat,25,Beast,Small,Un
Giant rhinoceros beetle,1100,Beast,Large,Un
Giant slicer beetle,700,Beast,Large,Un
Giant spider,200,Beast,Large,Un
Giant toad,200,Beast,Large,Un
Giant wasp,100,Beast,Medium,Un
Giant weasel,25,Beast,Medium,Un
Giant wolf spider,50,Beast,Medium,Un
Girallon,1100,Monstrosity,Large,Un
Gloom crawler,5900,Monstrosity,Huge,N
Gnarlwood,3900,Plant,Huge,NE
Goblin,50,Humanoid,Small,NE
Goblin boss,200,Humanoid,Small,NE
"Gold dragon, adult",18000,Dragon,Huge,LG
"Gold dragon, ancient",62000,Dragon,Gargantuan,LG
"Gold dragon, wyrmling",700,Dragon,Medium,LG
"Gold dragon, young",5900,Dragon,Large,LG
Gorbel,50,Aberration,Small,N
Gorgon,1800,Monstrosity,Large,Un
Gorilla bear,200,Monstrosity,Medium,Un
Green dracolisk,2900,Dragon,Large,Un
"Green dragon, adult",13000,Dragon,Huge,LE
"Green dragon, ancient",41000,Dragon,Gargantuan,LE
"Green dragon, wyrmling",450,Dragon,Medium,LE
"Green dragon, young",3900,Dragon,Large,LE
Green hag,700,Fey,Medium,NE
Green hag (in coven),1800,Fey,Medium,NE
Grick,450,Monstrosity,Medium,N
Grick alpha,2900,Monstrosity,Large,N
Grippli,50,Humanoid,Small,N
Grue (type 2),450,Aberration,Medium,CE
Grung,50,Humanoid,Small,LE
Grung elite warrior,450,Humanoid,Small,LE
Grung wildling,200,Humanoid,Small,LE
Guardian naga,5900,Monstrosity,Large,LG
Hadrosaurus,50,Beast,Large,Un
Hangman tree,2900,Plant,Huge,NE
Hanu-naga,450,Monstrosity,Large,CE
Harpy,200,Monstrosity,Medium,CE
Hawktoad,50,Monstrosity,Small,Un
Helix moth adult,2300,Beast,Huge,Un
Hill giant,1800,Giant,Huge,CE
Hoar fox,200,Monstrosity,Small,Un
Hobgoblin,100,Humanoid,Medium,LE
Hobgoblin captain,700,Humanoid,Medium,LE
Hobgoblin devastator,1100,Humanoid,Medium,LE
Hobgoblin iron shadow,450,Humanoid,Medium,LE
Hobgoblin warlord,2300,Humanoid,Medium,LE
Horakh,5000,Monstrosity,Medium,N
Hound of the night,1800,Monstrosity,Large,Un
J'ba fofi spider,700,Beast,Large,Un
Jack-in-irons giant,2900,Giant,Huge,CE
Jaculi,25,Monstrosity,Medium,Un
Jaculus,700,Dragon,Small,NE
Jupiter bloodsucker,200,Plant,Medium,Un
Kamadan,700,Monstrosity,Large,Un
Kech,100,Monstrosity,Medium,NE
Kenku,50,Humanoid,Medium,CN
Kot bayun,450,Monstrosity,Medium,N
Lake troll,2900,Giant,Large,CE
Land lamprey,50,Beast,Small,Un
Lemurfolk (kaguani),50,Humanoid,Small,N
Lemurfolk (kaguani) greyfur,1100,Humanoid,Small,N
Leshy,200,Monstrosity,Medium,CN
Leucrotta,700,Monstrosity,Large,CE
"Leucrotta, adult",450,Monstrosity,Large,CE
"Leucrotta, young",50,Monstrosity,Medium,CE
Lightning treant,2300,Plant,Huge,NE
Lizard king/queen,1100,Humanoid,Medium,CE
Lizardfolk,100,Humanoid,Medium,N
Lizardfolk shaman,450,Humanoid,Medium,N
Lorelei,1800,Fey,Medium,CE
Mandragora,25,Plant,Small,NE
Mandrill,25,Beast,Small,Un
Mastiff,25,Beast,Medium,Un
Mastodon,1100,Beast,Huge,Un
Meenlock,450,Fey,Small,NE
Millitaur,700,Monstrosity,Large,N
Miremal,100,Fey,Small,CE
Mirror hag,2300,Fey,Medium,CN
Mongrelfolk,50,Humanoid,Medium,Any
Moss lurker,200,Humanoid,Small,CN
Mouth of grolantor,2300,Giant,Huge,CE
Murder crow,700,Undead,Medium,CE
Myling,450,Undead,Small,CE
Naina,7200,Dragon,Large (medium),LE
Needle blight,50,Plant,Medium,NE
Nichny,2300,Fey,Medium,NE
Nightgarm,2300,Monstrosity,Large,CE
Nilbog,200,Humanoid,Small,CE
One-eyed shiver,700,Humanoid,Medium,CE
Oni (ogre mage),2900,Giant,Large,LE
Owl harpy,1800,Monstrosity,Medium,NE
Owlbear,700,Monstrosity,Large,Un
Owlwere,100,Monstrosity,Small,CE
Panther,50,Beast,Medium,Un
Pegasus,450,Celestial,Large,CG
Phase spider,700,Monstrosity,Large,Un
Pixie,50,Fey,Tiny,NG
Pombero,700,Fey,Medium,CN
Pseudodragon,50,Dragon,Tiny,NG
Quickling,200,Fey,Tiny,CE
Quickwood,3900,Plant,Huge,N
Qwyllion,3900,Aberration,Medium,NE
Razerblast,1800,Humanoid,Medium,CE
Red hag,2900,Fey,Medium,NE
Red-banded line spider,50,Beast,Tiny,Un
Ronus,50,Monstrosity,Medium,Un
Rusalka,2300,Undead,Medium,CE
Ryven,200,Humanoid,Medium,N
Sacred stone monk,100,Humanoid,Medium,LE
Sap demon,1100,Ooze,Small,CE
Satyr,100,Fey,Medium,CN
Savager,3900,Beast,Large,NE
Scythe tree,1800,Plant,Huge,CE
Selang,1100,Fey,Medium,CE
Shambling mound,1800,Plant,Large,Un
Shellycoat,450,Fey,Medium,NE
Shroom,1100,Plant,Small,CE
Snow leopard,50,Beast,Medium,Un
Spawn of arbeyach,1800,Aberration,Medium,LE
Spinosaurus,10000,Beast,Gargantuan,Un
Sprite,50,Fey,Tiny,NG
Stegocentipede,1100,Beast,Huge,Un
Stegosaurus,1100,Beast,Huge,Un
Stonemelder,1100,Humanoid,Medium,NE
Stryx,25,Monstrosity,Tiny,N
Subek,1800,Humanoid,Large,LN
Suturefly,50,Beast,Tiny,Un
Swarm of centipedes,100,Beast,Medium (tiny),Un
Swarm of poisonous snakes,450,Beast,Medium (tiny),Un
Swarm of wolf spirits,2300,Undead,Large (medium),NE
Tabaxi,100,Humanoid,Medium,CN
Tangtal,200,Monstrosity,Medium,NE
Tendriculos,1100,Plant,Large,Un
Tendril puppet,450,Plant,Medium,LN
Thorny,200,Plant,Medium,N
Tiger,200,Beast,Large,Un
Treant,5000,Plant,Huge,CG
Tree blight,2900,Plant,Huge,NE
Tri-flower frond,100,Plant,Medium,Un
Troll,1800,Giant,Large,CE
Trollkin reaver,1100,Humanoid,Medium,N
Twig blight,25,Plant,Small,NE
Unicorn,1800,Celestial,Large,LG
Vampire rose,50,Plant,Small,Un
Vegepygmy,50,Plant,Small,N
Vegepygmy commoner/worker,25,Plant,Small,Un
Vegepygmy guard,100,Plant,Small,Un
Velociraptor,50,Beast,Tiny,Un
Vila,1800,Fey,Medium,LN
Vine blight,100,Plant,Medium,NE
Vine lord,2900,Plant,Medium,LN
Vine troll skeleton,5000,Plant,Large,Un
Wampus cat,200,Monstrosity,Medium,CN
Water leaper,1100,Monstrosity,Large,Un
Weeping treant,2300,Plant,Huge,N
Werebear,1800,Humanoid,Medium,NG
Wereboar,1100,Humanoid,Medium,NE
Weredactyl,450,Humanoid,Medium,NE
Wererat,450,Humanoid,Medium,LE
Wereraven,450,Humanoid,Medium,LG
Weretiger,1100,Humanoid,Medium,N
Werewolf,700,Humanoid,Medium,CE
White ape,2300,Monstrosity,Large,N
Widow creeper,5900,Plant,Large,Un
Will-o'-wisp,450,Undead,Tiny,CE
Wolfwere,200,Monstrosity,Medium,CE
Wood woad,1800,Plant,Medium,LN
Woolly rhinoceros,2300,Beast,Large,Un
Wyvern,2300,Dragon,Large,Un
Xvart,25,Humanoid,Small,CE
Xvart warlock of raxivort,200,Humanoid,Small,CE
Yellow musk creeper,200,Plant,Large,Un
Yellow musk zombie,50,Plant,Medium,NE
Yeth hound,1100,Fey,Large,NE
Yuan-ti abomination,2900,Monstrosity,Large,NE
Yuan-ti anathema,8400,Monstrosity,Huge,NE
Yuan-ti broodguard,450,Humanoid,Medium,NE
Yuan-ti malison,700,Monstrosity,Medium,NE
Yuan-ti mind whisperer,1100,Monstrosity,Medium,NE
Yuan-ti nightmare speaker,1100,Monstrosity,Medium,NE
Yuan-ti pitmaster,1800,Monstrosity,Medium,NE
Yuan-ti pureblood,200,Monstrosity,Medium,NE
Zmey,11500,Dragon,Huge,CE
