Monster,CR,Type,Subtype,Size,Align,Terrain,Sourcebook,,
Razerblast,5    ,Humanoid,Human,Medium,CE,"Desert, Forest, Grassland, Hill",PotA p.201,,
Rotting wind,6    ,Undead,N/A,Large,NE,"Desert, Grassland, Hill",ToB p.330,,
Sand hag,5    ,Monstrosity,N/A,Medium,CE,Desert,ToB p.245,,
Sand silhouette,6    ,Undead,N/A,Medium,NE,Desert,ToB p.332,,
Sand spider,7    ,Beast,N/A,Large,Un,"Desert, Underdark",ToB p.364,,
Sandwyrm,6    ,Dragon,N/A,Large,Un,Desert,ToB p.334,,
Sathaq worm,10    ,Elemental,N/A,Huge,NE,"Desert, Special, Underdark",ToB p.337,,
Scorpion,0    ,Beast,N/A,Tiny,Un,Desert,MM p.337,,
Serpopard,4    ,Beast,N/A,Large,Un,"Desert, Swamp",ToB p.342,,
Shabti,8    ,Construct,N/A,Medium,Un,"Desert, Swamp",ToB p.343,,
Skyweaver,3    ,Humanoid,Human,Medium,CE,"Coastal, Desert, Grassland, Mountain",PotA p.191,,
Spawn of arbeyach,5    ,Aberration,N/A,Medium,LE,"Coastal, Desert, Forest, Hill, Mountain",ToB p.97,,
Storm giant,13    ,Giant,N/A,Huge,CG,"Arctic, Coastal, Desert, Mountain, Underwater",MM p.156,,
Storm giant quintessent,16    ,Giant,Storm giant,Huge,CG,"Arctic, Coastal, Desert, Mountain, Underwater",VGtM p.151,,
Stygian fat-tailed scorpion,3    ,Beast,N/A,Tiny,Un,"Desert, Special, Underdark",ToB p.340,,
Swarm of centipedes, 1/2,Beast,N/A,Medium (tiny),Un,"Desert, Forest, Grassland, Hill, Swamp, Urban",FEF p.52,,
Swarm of manabane scarabs,4    ,Beast,N/A,Medium (tiny),Un,Desert,ToB p.374,,
Thri-kreen,1    ,Humanoid,Thri-kreen,Medium,CN,"Desert, Grassland",MM p.288,,
Tlincalli,5    ,Monstrosity,N/A,Large,NE,"Desert, Grassland, Hill",VGtM p.193,,
Ushabti,9    ,Construct,N/A,Large,Un,"Desert, Special",ToB p.394,,
Uthgardt shaman,2    ,Humanoid,Human,Medium,NE,"Arctic, Desert, Mountain",SKT p.243-244,,
Vargouille,1    ,Fiend,N/A,Tiny,CE,"Desert, Special, Swamp, Underdark",VGtM p.195,,
Venomous mummy,3    ,Undead,N/A,Medium,LE,"Desert, Swamp",ToB p.299,,
Vesiculosa,11    ,Plant,N/A,Gargantuan,Un,Desert,ToB p.399,,
Vulture,0    ,Beast,N/A,Medium,Un,"Desert, Grassland, Hill",MM p.339,,
War ostrich, 1/2,Beast,N/A,Large,Un,"Desert, Grassland",ToB p.307,,
Weretiger,4    ,Humanoid,Human/shapechanger,Medium,N,"Desert, Forest, Grassland",MM p.210,,
Wight,3    ,Undead,N/A,Medium,NE,"Desert, Swamp, Underdark, Urban",MM p.300,,
Yakfolk (yikaria) priest,4    ,Monstrosity,N/A,Large,NE,"Arctic, Desert, Mountain",SKT p.244-245,,
Yakfolk (yikaria) warrior,3    ,Monstrosity,N/A,Large,NE,"Arctic, Desert, Mountain",SKT p.244-245,,
Yuan-ti abomination,7    ,Monstrosity,Yuan-ti/shapechanger,Large,NE,"Desert, Forest, Swamp",MM p.308,,
Yuan-ti anathema,12    ,Monstrosity,Yuan-ti/shapechanger,Huge,NE,"Desert, Forest, Swamp",VGtM p.202-203,,
Yuan-ti broodguard,2    ,Humanoid,Yuan-ti,Medium,NE,"Desert, Forest, Swamp",VGtM p.203,,
Yuan-ti malison,3    ,Monstrosity,Yuan-ti/Shapechanger,Medium,NE,"Desert, Forest, Swamp",MM p.309,,
Yuan-ti mind whisperer,4    ,Monstrosity,Yuan-ti/shapechanger,Medium,NE,"Desert, Forest, Swamp",VGtM p.203-204,,
Yuan-ti nightmare speaker,4    ,Monstrosity,Yuan-ti/shapechanger,Medium,NE,"Desert, Forest, Swamp",VGtM p.204-205,,
Yuan-ti pitmaster,5    ,Monstrosity,Yuan-ti/shapechanger,Medium,NE,"Desert, Forest, Swamp",VGtM p.206,,
Yuan-ti pureblood,1    ,Monstrosity,Yuan-ti,Medium,NE,"Desert, Forest, Swamp, Urban",MM p.310,,
Zimwi,4    ,Giant,N/A,Medium,CE,"Desert, Grassland, Swamp",ToB p.415,,
