Monster,CR,Type,Subtype,Size,Align,Terrain,Sourcebook,,
"Flame dragon, ancient",24    ,Dragon,N/A,Gargantuan,CE,"Hill, Mountain","ToB p.128-129, 131",,
"Flame dragon, wyrmling",3    ,Dragon,N/A,Medium,CE,"Hill, Mountain","ToB p.128, 131",,
"Flame dragon, young",9    ,Dragon,N/A,Large,CE,"Hill, Mountain","ToB p.128, 130-131",,
Flamewrath,6    ,Humanoid,Human,Medium,CE,"Desert, Forest, Grassland, Hill",PotA p.201,,
Flowershroud,1    ,Plant,N/A,Large,Un,"Forest, Grassland, Hill, Swamp",FEF p.104,,
Flying ape,2    ,Monstrosity,N/A,Large,CN,"Forest, Grassland, Hill",FEF p.12,,
Forest marauder,4    ,Giant,N/A,Large,CE,"Forest, Hill, Swamp",ToB p.205,,
Foxwere, 1/2,Monstrosity,Shapechanger,Small,LE,"Arctic, Forest, Hill, Underdark",FEF p.227,,
Fungus gargoyle,3    ,Plant,Fungus,Medium,NE,"Desert, Forest, Grassland, Hill, Underdark",FEF p.114,,
Galeb duhr,6    ,Elemental,N/A,Medium,N,"Hill, Mountain, Special",MM p.139,,
Gallows tree,13    ,Plant,N/A,Huge,Un,"Forest, Grassland, Hill, Swamp",FEF p.111,,
Gallows tree zombie,2    ,Plant,N/A,Medium,Un,"Forest, Grassland, Hill, Swamp",FEF p.112,,
Gbahali,6    ,Beast,N/A,Huge,Un,"Desert, Grassland, Hill, Mountain",ToB p.209,,
Giant beetle exoskeleton,2    ,Construct,N/A,Large,Un,"Desert, Forest, Grassland, Hill, Mountain",FEF p.96,,
Giant boar,2    ,Beast,N/A,Large,Un,"Forest, Grassland, Hill",MM p.323,,
Giant crab exoskeleton,3    ,Construct,N/A,Large,Un,"Desert, Forest, Grassland, Hill, Mountain",FEF p.97,,
Giant eagle,1    ,Beast,N/A,Large,NG,"Coastal, Grassland, Hill, Mountain",MM p.324,,
Giant elk,2    ,Beast,N/A,Huge,Un,"Forest, Grassland, Hill, Mountain",MM p.325,,
Giant goat, 1/2,Beast,N/A,Large,Un,"Grassland, Hill, Mountain",MM p.326,,
Giant hyena,1    ,Beast,N/A,Large,Un,"Desert, Forest, Grassland, Hill",MM p.326,,
Giant owl, 1/4,Beast,N/A,Large,N,"Arctic, Forest, Hill",MM p.327,,
Giant rhinoceros beetle,4    ,Beast,N/A,Large,Un,"Forest, Grassland, Hill",FEF p.24,,
Giant slicer beetle,3    ,Beast,N/A,Large,Un,"Forest, Grassland, Hill",FEF p.24,,
Giant weasel, 1/8,Beast,N/A,Medium,Un,"Forest, Grassland, Hill",MM p.329,,
Giant wolf spider, 1/4,Beast,N/A,Medium,Un,"Coastal, Desert, Forest, Grassland, Hill",MM p.330,,
Girallon,4    ,Monstrosity,N/A,Large,Un,"Forest, Hill, Swamp, Special",VGtM p.152,,
Gloom crawler,10    ,Monstrosity,N/A,Huge,N,"Forest, Grassland, Hill, Underdark",FEF p.122,,
Goat,0    ,Beast,N/A,Medium,Un,"Grassland, Hill, Mountain, Urban",MM p.330,,
Goblin, 1/4,Humanoid,Goblinoid,Small,NE,"Forest, Grassland, Hill, Underdark",MM p.166,,
Goblin boss,1    ,Humanoid,Goblinoid,Small,NE,"Forest, Grassland, Hill, Underdark",MM p.166,,
Golden cat,0    ,Beast,N/A,Tiny,Un,"Coastal, Forest, Grassland, Hill, Urban",FEF p.125,,
Gorgimera,7    ,Monstrosity,N/A,Large,Un,"Hill, Mountain",FEF p.131,,
Gorgon,5    ,Monstrosity,N/A,Large,Un,"Forest, Grassland, Hill",MM p.171,,
Green hag,3    ,Fey,N/A,Medium,NE,"Forest, Hill, Swamp",MM p.177,,
Green hag (in coven),5    ,Fey,N/A,Medium,NE,"Forest, Hill, Swamp","MM p.176, 179",,
Grue (type 2),2    ,Aberration,N/A,Medium,CE,"Forest, Grassland, Hill, Underdark",FEF p.138,,
Hadrosaurus, 1/4,Beast,N/A,Large,Un,"Forest, Grassland, Hill, Swamp",VGtM p.140,,
Harpy,1    ,Monstrosity,N/A,Medium,CE,"Coastal, Forest, Hill, Mountain",MM p.181,,
Hill giant,5    ,Giant,N/A,Huge,CE,"Forest, Hill, Mountain",MM p.155,,
Hippogriff,1    ,Monstrosity,N/A,Large,Un,"Grassland, Hill, Mountain",MM p.184,,
Hoar fox,1    ,Monstrosity,N/A,Small,Un,"Arctic, Forest, Hill",FEF p.145,,
Hobgoblin, 1/2,Humanoid,Goblinoid,Medium,LE,"Desert, Forest, Grassland, Hill, Underdark",MM p.186,,
Hobgoblin captain,3    ,Humanoid,Goblinoid,Medium,LE,"Desert, Forest, Grassland, Hill, Underdark",MM p.186,,
Hobgoblin devastator,4    ,Humanoid,Goblinoid,Medium,LE,"Desert, Forest, Grassland, Hill, Underdark",VGtM p.161,,
Hobgoblin iron shadow,2    ,Humanoid,Goblinoid,Medium,LE,"Desert, Forest, Grassland, Hill, Underdark",VGtM p.162,,
Hobgoblin warlord,6    ,Humanoid,Goblinoid,Medium,LE,"Desert, Forest, Grassland, Hill, Underdark",MM p.187,,
Hyaenodon,1    ,Beast,N/A,Large,Un,"Desert, Grassland, Hill",FEF p.184,,
Hyena,0    ,Beast,N/A,Medium,Un,"Desert, Forest, Grassland, Hill",MM p.331,,
J'ba fofi spider,3    ,Beast,N/A,Large,Un,"Desert, Forest, Hill",ToB p.362,,
Jaculi, 1/8,Monstrosity,N/A,Medium,Un,"Forest, Grassland, Hill",FEF p.150,,
Kamadan,3    ,Monstrosity,N/A,Large,Un,"Desert, Forest, Grassland, Hill, Swamp",FEF p.153,,
Land lamprey, 1/4,Beast,N/A,Small,Un,"Forest, Grassland, Hill, Underdark",FEF p.160,,
Leucrotta,3    ,Monstrosity,N/A,Large,CE,"Desert, Forest, Grassland, Hill, Swamp",VGtM p.169,,
"Leucrotta, adult",2    ,Monstrosity,N/A,Large,CE,"Desert, Forest, Grassland, Hill, Swamp",FEF p.164,,
"Leucrotta, young", 1/4,Monstrosity,N/A,Medium,CE,"Desert, Forest, Grassland, Hill, Swamp",FEF p.164,,
Lion,1    ,Beast,N/A,Large,Un,"Desert, Grassland, Hill, Mountain",MM p.331,,
Loxoda,6    ,Monstrosity,N/A,Huge,NE,"Grassland, Hill",ToB p.280,,
Manticore,3    ,Monstrosity,N/A,Large,LE,"Arctic, Coastal, Grassland, Hill, Mountain",MM p.213,,
Mastiff, 1/8,Beast,N/A,Medium,Un,"Forest, Hill, Urban",MM p.332,,
Mastodon,4    ,Beast,N/A,Huge,Un,"Arctic, Forest, Hill, Grassland",FEF p.185,,
Mngwa,4    ,Aberration,N/A,Medium,NE,"Hill, Mountain",ToB p.293,,
Mongrelfolk, 1/4,Humanoid,Mongrelfolk,Medium,Any,"Forest, Hills, Special, Swamp, Urban",CoS p.234,,
Moss lurker,1    ,Humanoid,N/A,Small,CN,"Forest, Hill, Swamp",ToB p.298,,
Mouth of grolantor,6    ,Giant,Hill giant,Huge,CE,"Forest, Hill, Mountain",VGtM p.149,,
Mule, 1/8,Beast,N/A,Medium,Un,"Desert, Hill, Urban",MM p.333,,
Murder crow,3    ,Undead,N/A,Medium,CE,"Forest, Grassland, Hill",FEF p.174,,
Neogi,3    ,Aberration,N/A,Small,LE,"Hill, Special, Underdark",VGtM p.180,,
Neogi hatchling, 1/8,Aberration,N/A,Tiny,LE,"Hill, Special, Underdark",VGtM p.179,,
Neogi master,4    ,Aberration,N/A,Medium,LE,"Hill, Special, Underdark",VGtM p.180,,
Ngobou,5    ,Beast,N/A,Large,Un,"Grassland, Hill",ToB p.115,,
Nightgarm,6    ,Monstrosity,N/A,Large,CE,"Arctic, Forest, Hill",ToB p.304-305,,
Nilbog,1    ,Humanoid,Goblinoid,Small,CE,"Forest, Grassland, Hill, Underdark",VGtM p.182,,
Nkosi, 1/2,Humanoid,Nkosi/shapechanger,Medium,LN,"Desert, Grassland, Hill, Urban",ToB p.306-307,,
Owl harpy,5    ,Monstrosity,N/A,Medium,NE,"Coastal, Forest, Hill, Mountain",ToB p.246,,
Owlwere, 1/2,Monstrosity,Shapechanger,Small,CE,"Forest, Grassland, Hill, Underdark",FEF p.229,,
Panther, 1/4,Beast,N/A,Medium,Un,"Forest, Grassland, Hill",MM p.333,,
Pegasus,2    ,Celestial,N/A,Large,CG,"Forest, Grassland, Hill",MM p.250,,
Peryton,2    ,Monstrosity,N/A,Large,CE,"Hill, Mountain",MM p.251,,
Phase spider,3    ,Monstrosity,N/A,Large,Un,"Desert, Forest, Grassland, Hill, Underdark, Urban",MM p.334,,
Pony, 1/8,Beast,N/A,Medium,Un,"Hill, Urban",MM p.335,,
Pseudodragon, 1/4,Dragon,N/A,Tiny,NG,"Coastal, Desert, Forest, Hill, Mountain, Urban",MM p.254,,
Quadricorn,4    ,Monstrosity,N/A,Large,NE,"Grassland, Hill",FEF p.189,,
Quetzalcoatlus,2    ,Beast,N/A,Huge,Un,"Coastal, Grassland, Hill, Mountain",VGtM p.140,,
Quickwood,8    ,Plant,N/A,Huge,N,"Forest, Hill, Mountain",FEF p.190,,
Raven,0    ,Beast,N/A,Tiny,Un,"Hill, Swamp, Urban",MM p.335,,
Razerblast,5    ,Humanoid,Human,Medium,CE,"Desert, Forest, Grassland, Hill",PotA p.201,,
"Red dragon, adult",17    ,Dragon,N/A,Huge,CE,"Hill, Mountain",MM p.98,,
"Red dragon, ancient",24    ,Dragon,N/A,Gargantuan,CE,"Hill, Mountain",MM p.97,,
"Red dragon, wyrmling",4    ,Dragon,N/A,Medium,CE,"Hill, Mountain",MM p.98,,
"Red dragon, young",10    ,Dragon,N/A,Large,CE,"Hill, Mountain",MM p.98,,
Rotting wind,6    ,Undead,N/A,Large,NE,"Desert, Grassland, Hill",ToB p.330,,
Sacred stone monk, 1/2,Humanoid,Human,Medium,LE,"Forest, Hill, Mountain, Swamp",PotA p.196,,
Spawn of arbeyach,5    ,Aberration,N/A,Medium,LE,"Coastal, Desert, Forest, Hill, Mountain",ToB p.97,,
Stegosaurus,4    ,Beast,N/A,Huge,Un,"Forest, Grassland, Hill",VGtM p.140,,
Stone giant,7    ,Giant,N/A,Huge,N,"Coastal, Hill, Mountain, Underdark",MM p.156,,
Stone giant dreamwalker,10    ,Giant,Stone giant,Huge,CN,"Coastal, Hill, Mountain, Underdark",VGtM p.150,,
Stonemelder,4    ,Humanoid,Human,Medium,NE,"Forest, Hill, Mountain, Swamp",PotA p.197,,
Stuhac,13    ,Fiend,N/A,Medium,NE,"Arctic, Coastal, Hill, Mountain",ToB p.370,,
Swarm of bats, 1/4,Beast,N/A,Medium (tiny),Un,"Hill, Mountain, Underdark, Urban",MM p.337,,
Swarm of centipedes, 1/2,Beast,N/A,Medium (tiny),Un,"Desert, Forest, Grassland, Hill, Swamp, Urban",FEF p.52,,
Swarm of ravens, 1/4,Beast,N/A,Medium (tiny),Un,"Hill, Swamp, Urban",MM p.339,,
Tazelwurm,2    ,Monstrosity,N/A,Large,Un,"Hill, Mountain",FEF p.222,,
Tendriculos,4    ,Plant,N/A,Large,Un,"Forest, Grassland, Hill",FEF p.224,,
Tlincalli,5    ,Monstrosity,N/A,Large,NE,"Desert, Grassland, Hill",VGtM p.193,,
Tri-flower frond, 1/2,Plant,N/A,Medium,Un,"Forest, Hill, Swamp",FEF p.232,,
Troll,5    ,Giant,N/A,Large,CE,"Arctic, Forest, Hill, Mountain, Swamp, Underdark",MM p.291,,
Two-headed troll,6    ,Giant,N/A,Large,CE,"Hill, Mountain, Underdark",FEF p.235,,
Vampire rose, 1/4,Plant,N/A,Small,Un,"Forest, Grassland, Hill",FEF p.238,,
Velociraptor, 1/4,Beast,N/A,Tiny,Un,"Forest, Grassland, Hill",VGtM p.140,,
Vulture,0    ,Beast,N/A,Medium,Un,"Desert, Grassland, Hill",MM p.339,,
Weasel,0    ,Beast,N/A,Tiny,Un,"Arctic, Coastal, Forest, Hill, Swamp",MM p.340,,
Werebear,5    ,Humanoid,Human/shapechanger,Medium,NG,"Arctic, Forest, Hill",MM p.208,,
Wereboar,4    ,Humanoid,Human/shapechanger,Medium,NE,"Forest, Grassland, Hill",MM p.209,,
Weredactyl,2    ,Humanoid,Shapechanger,Medium,NE,"Forest, Grassland, Hill",FEF p.246,,
Wereraven,2    ,Humanoid,Human/shapechanger,Medium,LG,"Forest, Hill",CoS p.242,,
Werewolf,3    ,Humanoid,Human/shapechanger,Medium,CE,"Forest, Hill",MM p.211,,
White ape,6    ,Monstrosity,N/A,Large,N,"Forest, Grassland, Hill",ToB p.408,,
Witch grass,0    ,Plant,N/A,Small,Un,"Forest, Grassland, Hill, Swamp",FEF p.248,,
Witherstench,0    ,Monstrosity,N/A,Small,Un,"Forest, Grassland, Hill",FEF p.249,,
Wolf, 1/4,Beast,N/A,Medium,Un,"Grassland, Hill",MM p.341,,
Wolfwere,1    ,Monstrosity,Shapechanger,Medium,CE,"Arctic, Forest, Grassland, Hill, Underdark",FEF p.230,,
Worg, 1/2,Monstrosity,N/A,Large,NE,"Grassland, Hill",MM p.341,,
Wyvern,6    ,Dragon,N/A,Large,Un,"Forest, Hill, Mountain, Swamp",MM p.303,,
Xvart, 1/8,Humanoid,Xvart,Small,CE,"Forest, Hill, Mountain, Underdark",VGtM p.199-200,,
Xvart warlock of raxivort,1    ,Humanoid,Xvart,Small,CE,"Forest, Hill, Mountain, Underdark",VGtM p.199-200,,
Yeth hound,4    ,Fey,N/A,Large,NE,"Forest, Grassland, Hill, Special",VGtM p.201,,
