Monster,CR,Type,Subtype,Size,Align,Terrain,Sourcebook,,
Derro shadow antipaladin,5    ,Humanoid,Derro,Small,CE,Underdark,ToB p.93,,
Devourer,13    ,Fiend,N/A,Large,CE,"Special, Underdark",VGtM p.138,,
Dipsa, 1/4,Ooze,N/A,Tiny,Un,"Swamp, Underdark",ToB p.118,,
Dire corby, 1/2,Monstrosity,N/A,Medium,NE,Underdark,FEF p.84,,
Dogmole,1    ,Beast,N/A,Medium,N,"Mountain, Underdark",ToB p.120,,
Dogmole juggernaut,5    ,Monstrosity,N/A,Large,N,"Mountain, Underdark",ToB p.121,,
Domovoi,4    ,Fey,N/A,Medium,CN,"Forest, Special, Underdark, Urban",ToB p.122,,
Doombat,3    ,Monstrosity,N/A,Large,Un,Underdark,FEF p.23,,
Doppelganger,3    ,Monstrosity,Shapechanger,Medium,N,"Underdark, Urban",MM p.82,,
Doppelrat,2    ,Monstrosity,N/A,Tiny,Un,"Underdark, Urban",ToB p.123,,
Dorreq,4    ,Aberration,N/A,Medium,NE,"Coastal, Desert, Mountain, Swamp, Underdark",ToB p.124,,
Draegloth,7    ,Fiend,Demon,Large,CE,Underdark,VGtM p.141,,
Dragon eel,12    ,Dragon,N/A,Huge,N,"Coastal, Underdark, Underwater",ToB p.146,,
Drider,6    ,Monstrosity,N/A,Large,CE,Underdark,MM p.120,,
Drow, 1/4,Humanoid,Elf,Medium,NE,Underdark,MM p.128,,
Drow elite warrior,5    ,Humanoid,Elf,Medium,NE,Underdark,MM p.128,,
Drow mage,7    ,Humanoid,Elf,Medium,NE,Underdark,MM p.129,,
Drow priestess of lolth,8    ,Humanoid,Elf,Medium,NE,Underdark,MM p.129,,
Drow spore servant, 1/8,Plant,N/A,Medium,Un,Underdark,OotA p.229,,
Duergar,1    ,Humanoid,Dwarf,Medium,LE,Underdark,MM p.122,,
Duergar darkhaft,2    ,Humanoid,Dwarf,Medium,LE,Underdark,"MM p.122, OotA p.226",,
Duergar kavalrachni,2    ,Humanoid,Dwarf,Medium,LE,Underdark,"MM p.122, OotA p.226",,
Duergar keeper of the flame,2    ,Humanoid,Dwarf,Medium,LE,Underdark,"MM p.122, OotA p.226-227",,
Duergar soulblade,1    ,Humanoid,Dwarf,Medium,LE,Underdark,OotA p.227,,
Duergar spore servant, 1/2,Plant,N/A,Medium,Un,Underdark,OotA p.229,,
Duergar stone guard,2    ,Humanoid,Dwarf,Medium,LE,Underdark,OotA p.227,,
Duergar xarrorn,2    ,Humanoid,Dwarf,Medium,LE,Underdark,OotA p.228,,
Earth elemental,5    ,Elemental,N/A,Large,N,"Special, Underdark",MM p.124,,
Earth elemental myrmidon,7    ,Elemental,N/A,Medium,N,"Special, Underdark",PotA p.212,,
Elder brain,14    ,Aberration,N/A,Large,LE,Underdark,VGtM p.173-174,,
Elder shadow drake,7    ,Dragon,N/A,Large,CE,"Forest, Special, Underdark",ToB p.153,,
Emperor ghoul,20    ,Undead,N/A,Medium,NE,"Special, Underdark, Urban",ToB p.217-219,,
Ettin,4    ,Giant,N/A,Large,CE,"Hill, Mountain, Underdark",MM p.132,,
Fear guard,3    ,Undead,N/A,Medium,CE,Underdark,FEF p.98,,
Female steeder,1    ,Beast,N/A,Large,Un,Underdark,OotA p.231,,
Feral undead cat, 1/8,Undead,N/A,Small,CE,"Underdark, Urban",FEF p.44,,
Fire giant,9    ,Giant,N/A,Huge,LE,"Mountain, Underdark",MM p.154,,
Fire giant dreadnought,14    ,Giant,Fire giant,Huge,LE,"Mountain, Underdark",VGtM p.147,,
Fire snake,1    ,Elemental,N/A,Medium,NE,"Special, Underdark",MM p.265,,
Firebird,4    ,Celestial,N/A,Small,NG,"Special, Underdark",ToB p.201,,
Flameskull,4    ,Undead,N/A,Tiny,NE,"Special, Underdark",MM p.134,,
Flumph, 1/8,Aberration,N/A,Small,LG,Underdark,MM p.135,,
Fomorian,8    ,Giant,N/A,Huge,CE,Underdark,MM p.136,,
Foxwere, 1/2,Monstrosity,Shapechanger,Small,LE,"Arctic, Forest, Hill, Underdark",FEF p.227,,
Fungus bat, 1/4,Plant,Fungus,Medium,Un,Underdark,FEF p.109,,
Fungus gargoyle,3    ,Plant,Fungus,Medium,NE,"Desert, Forest, Grassland, Hill, Underdark",FEF p.114,,
Gargoyle,2    ,Elemental,N/A,Medium,CE,"Special, Underdark, Urban",MM p.140,,
Gas spore, 1/2,Plant,Fungus,Large,Un,Underdark,MM p.138,,
Gauth,6    ,Aberration,N/A,Medium,LE,"Mountain, Special, Underdark",VGtM p.125,,
Gazer, 1/2,Aberration,N/A,Tiny,NE,"Mountain, Special, Underdark",VGtM p.126,,
Gelatinous cube,2    ,Ooze,N/A,Large,Un,Underdark,MM p.242,,
Ghast,2    ,Undead,N/A,Medium,CE,"Swamp, Underdark, Urban",MM p.148,,
Ghost,4    ,Undead,N/A,Medium,Any,"Underdark, Urban",MM p.147,,
Ghostwalk spider,9    ,Monstrosity,N/A,Large,NE,"Special, Underdark",ToB p.361,,
Ghoul,1    ,Undead,N/A,Medium,CE,"Swamp, Underdark, Urban",MM p.148,,
Giant bat, 1/4,Beast,N/A,Large,Un,"Forest, Underdark",MM p.323,,
Giant centipede, 1/4,Beast,N/A,Small,Un,"Underdark, Urban",MM p.323,,
Giant constrictor snake,2    ,Beast,N/A,Huge,Un,"Desert, Forest, Swamp, Underdark, Underwater",MM p.324,,
Giant fire beetle,0    ,Beast,N/A,Small,Un,Underdark,MM p.325,,
Giant lizard, 1/4,Beast,N/A,Large,Un,"Coastal, Desert, Forest, Swamp, Underdark",MM p.326,,
Giant rat, 1/8,Beast,N/A,Small,Un,"Forest, Swamp, Underdark, Urban",MM p.327,,
Giant slug of p'nahk,4    ,Fiend,N/A,Large,CE,"Special, Swamp, Underdark",FEF p.119,,
Giant spider,1    ,Beast,N/A,Large,Un,"Desert, Forest, Swamp, Underdark, Urban",MM p.328,,
Giant toad,1    ,Beast,N/A,Large,Un,"Coastal, Desert, Forest, Swamp, Underdark",MM p.329,,
Gibbering mouther,2    ,Aberration,N/A,Medium,N,Underdark,MM p.157,,
Glass gator,1    ,Beast,N/A,Large,Un,"Coastal, Swamp, Underdark, Underwater",ToB p.228,,
Gloom crawler,10    ,Monstrosity,N/A,Huge,N,"Forest, Grassland, Hill, Underdark",FEF p.122,,
Goblin, 1/4,Humanoid,Goblinoid,Small,NE,"Forest, Grassland, Hill, Underdark",MM p.166,,
Goblin boss,1    ,Humanoid,Goblinoid,Small,NE,"Forest, Grassland, Hill, Underdark",MM p.166,,
Gohl (hydra cloud),8    ,Aberration,N/A,Large,CE,"Special, Underdark",FEF p.124,,
Gray ooze, 1/2,Ooze,N/A,Medium,Un,Underdark,MM p.243,,
Greater boneneedle,1    ,Beast,N/A,Medium,Un,Underdark,FEF p.34,,
Green brain,1    ,Plant,N/A,Small,LE,Underdark,FEF p.134,,
Green dracolisk,7    ,Dragon,N/A,Large,Un,"Forest, Underdark",FEF p.85,,
Grell,3    ,Aberration,N/A,Medium,NE,"Special, Underdark",MM p.172,,
Grick,2    ,Monstrosity,N/A,Medium,N,"Forest, Underdark",MM p.173,,
Grick alpha,7    ,Monstrosity,N/A,Large,N,"Forest, Underdark",MM p.173,,
Grimlock, 1/4,Humanoid,Grimlock,Medium,NE,Underdark,MM p.175,,
Grue (type 1),4    ,Ooze,N/A,Large,Un,Underdark,FEF p.137,,
Grue (type 2),2    ,Aberration,N/A,Medium,CE,"Forest, Grassland, Hill, Underdark",FEF p.138,,
Gug,12    ,Giant,N/A,Huge,NE,"Special, Underdark",ToB p.241,,
Helix moth adult,6    ,Beast,N/A,Huge,Un,"Forest, Underdark",FEF p.142,,
Helix moth larva,2    ,Beast,N/A,Large,Un,Underdark,FEF p.142-143,,
Hell hound,3    ,Fiend,N/A,Medium,LE,"Mountain, Special, Underdark",MM p.182,,
Hobgoblin, 1/2,Humanoid,Goblinoid,Medium,LE,"Desert, Forest, Grassland, Hill, Underdark",MM p.186,,
Hobgoblin captain,3    ,Humanoid,Goblinoid,Medium,LE,"Desert, Forest, Grassland, Hill, Underdark",MM p.186,,
Hobgoblin devastator,4    ,Humanoid,Goblinoid,Medium,LE,"Desert, Forest, Grassland, Hill, Underdark",VGtM p.161,,
Hobgoblin iron shadow,2    ,Humanoid,Goblinoid,Medium,LE,"Desert, Forest, Grassland, Hill, Underdark",VGtM p.162,,
Hobgoblin warlord,6    ,Humanoid,Goblinoid,Medium,LE,"Desert, Forest, Grassland, Hill, Underdark",MM p.187,,
Hook horror,3    ,Monstrosity,N/A,Large,N,Underdark,MM p.189,,
Hook horror spore servant,3    ,Plant,N/A,Medium,Un,Underdark,OotA p.229,,
Horakh,9    ,Monstrosity,N/A,Medium,N,"Forest, Swamp, Underdark",ToB p.250,,
Huggermugger, 1/4,Humanoid,N/A,Small,CE,Underdark,FEF p.147,,
Idolic deity,8    ,Construct,N/A,Small,NE,"Desert, Special, Swamp, Underdark",ToB p.255,,
Igniguana,1    ,Elemental,N/A,Medium,Un,"Desert, Special, Underdark",FEF p.148,,
Imperial ghoul,4    ,Undead,N/A,Medium,LE,"Special, Underdark, Urban",ToB p.220,,
Intellect devourer,2    ,Aberration,N/A,Tiny,LE,Underdark,MM p.191,,
Iron ghoul,5    ,Undead,N/A,Medium,LE,"Special, Underdark, Urban",ToB p.221,,
Ixitxachitil, 1/4,Aberration,N/A,Small,CE,"Underdark, Underwater",OotA p.225,,
Kampfult,2    ,Plant,N/A,Medium,Un,Underdark,FEF p.154,,
Kuo-toa, 1/4,Humanoid,Kuo-toa,Medium,NE,Underdark,MM p.199,,
Kuo-toa archpriest,6    ,Humanoid,Kuo-toa,Medium,NE,Underdark,MM p.200,,
Kuo-toa monitor,3    ,Humanoid,Kuo-toa,Medium,NE,Underdark,MM p.198,,
Kuo-toa whip,1    ,Humanoid,Kuo-toa,Medium,NE,Underdark,MM p.200,,
Land lamprey, 1/4,Beast,N/A,Small,Un,"Forest, Grassland, Hill, Underdark",FEF p.160,,
Lava child,1    ,Humanoid,Elemental,Medium,N,"Special, Underdark",FEF p.161,,
Lesser boneneedle, 1/4,Beast,N/A,Small,Un,Underdark,FEF p.34,,
Lionwere,2    ,Monstrosity,Shapechanger,Large,CE,"Desert, Grassland, Underdark",FEF p.228,,
Lithonnite,4    ,Monstrosity,N/A,Large,Un,"Coastal, Swamp, Underdark, Underwater",FEF p.165,,
Magma mephit, 1/2,Elemental,N/A,Small,NE,"Mountain, Special, Underdark",MM p.216,,
Magma ooze,5    ,Ooze,N/A,Large,Un,"Mountain, Underdark",FEF p.179,,
Male steeder, 1/4,Beast,N/A,Medium,Un,Underdark,OotA p.231,,
Mantari, 1/8,Monstrosity,N/A,Medium,NE,Underdark,FEF p.169,,
Maw demon,1    ,Fiend,Demon,Medium,CE,"Special, Underdark",VGtM p.137,,
Meenlock,2    ,Fey,N/A,Small,NE,"Forest, Swamp, Underdark, Urban",VGtM p.170,,
Mimic,2    ,Monstrosity,Shapechanger,Medium,N,"Underdark, Urban",MM p.220,,
Mind flayer,7    ,Aberration,N/A,Medium,LE,Underdark,MM p.222,,
Mind flayer arcanist,8    ,Aberration,N/A,Medium,LE,Underdark,MM p.222,,
Mindwitness,5    ,Aberration,N/A,Large,LE,Underdark,VGtM p.176,,
Minotaur,3    ,Monstrosity,N/A,Large,CE,Underdark,MM p.223,,
Minotaur skeleton,2    ,Undead,N/A,Large,LE,Underdark,MM p.273,,
Mite, 1/8,Fey,N/A,Small,LE,Underdark,FEF p.171,,
"Mithral dragon, adult",14    ,Dragon,N/A,Huge,N,"Special, Underdark",ToB p.133-134,,
"Mithral dragon, ancient",18    ,Dragon,N/A,Gargantuan,N,"Special, Underdark",ToB p.132-133,,
"Mithral dragon, young",6    ,Dragon,N/A,Medium,N,"Special, Underdark",ToB p.134,,
Myconid adult, 1/2,Plant,N/A,Medium,LN,Underdark,MM p.232,,
Myconid sovereign,2    ,Plant,N/A,Large,LN,Underdark,MM p.232,,
Myconid sprout,0    ,Plant,N/A,Small,LN,Underdark,MM p.230,,
Neogi,3    ,Aberration,N/A,Small,LE,"Hill, Special, Underdark",VGtM p.180,,
Neogi hatchling, 1/8,Aberration,N/A,Tiny,LE,"Hill, Special, Underdark",VGtM p.179,,
Neogi master,4    ,Aberration,N/A,Medium,LE,"Hill, Special, Underdark",VGtM p.180,,
Neothelid,13    ,Aberration,N/A,Gargantuan,CE,Underdark,VGtM p.181,,
Night scorpion,3    ,Beast,N/A,Large,Un,"Desert, Underdark",ToB p.340,,
Nihileth aboleth,12    ,Undead,N/A,Large,CE,"Special, Underdark, Underwater",ToB p.8-9,,
Nilbog,1    ,Humanoid,Goblinoid,Small,CE,"Forest, Grassland, Hill, Underdark",VGtM p.182,,
Nothic,2    ,Aberration,N/A,Medium,NE,Underdark,MM p.236,,
Ochre jelly,2    ,Ooze,N/A,Large,Un,Underdark,MM p.243,,
Olive slime,0    ,Plant,Fungus,Large,Un,Underdark,FEF p.176,,
Olive slime zombie, 1/2,Plant,N/A,Medium,NE,Underdark,FEF p.177,,
Otyugh,5    ,Aberration,N/A,Large,N,Underdark,MM p.248,,
Owlwere, 1/2,Monstrosity,Shapechanger,Small,CE,"Forest, Grassland, Hill, Underdark",FEF p.229,,
Pech, 1/4,Fey,N/A,Small,NG,"Special, Underdark",FEF p.181,,
Pestie Mite, 1/4,Fey,N/A,Small,LE,Underdark,FEF p.172,,
Phase spider,3    ,Monstrosity,N/A,Large,Un,"Desert, Forest, Grassland, Hill, Underdark, Urban",MM p.334,,
Phycomid, 1/2,Plant,Fungus,Small,NE,Underdark,FEF p.182,,
Piercer, 1/2,Monstrosity,N/A,Medium,Un,Underdark,MM p.252,,
Purple worm,15    ,Monstrosity,N/A,Gargantuan,Un,"Desert, Underdark",MM p.255,,
Purple wormling,2    ,Monstrosity,N/A,Large,Un,"Desert, Underdark",SKT p.242,,
Pyrolisk, 1/2,Monstrosity,N/A,Small,NE,"Desert, Grassland, Underdark",FEF p.188,,
Quaggoth,2    ,Humanoid,Quoggoth,Medium,CN,Underdark,MM p.256,,
Quaggoth spore servant,1    ,Plant,N/A,Medium,Un,Underdark,MM p.230,,
Quaggoth thonot,3    ,Humanoid,Quoggoth,Medium,CN,Underdark,MM p.256,,
Rat,0    ,Beast,N/A,Tiny,Un,"Swamp, Underdark, Urban",MM p.335,,
Red dracolisk,7    ,Dragon,N/A,Large,Un,"Mountain, Underdark",FEF p.85,,
Red hag,7    ,Fey,N/A,Medium,NE,"Coastal, Forest, Underdark",ToB p.244,,
"Red shadow dragon, young",13    ,Dragon,N/A,Large,CE,Underdark,MM p.85,,
Roachling lord,2    ,Humanoid,Roachling,Small,CN,"Swamp, Underdark, Urban",ToB p.329,,
Roachling skirmisher, 1/4,Humanoid,Roachling,Small,CN,"Swamp, Underdark, Urban",ToB p.329,,
Roper,5    ,Monstrosity,N/A,Large,NE,Underdark,MM p.261,,
Russet mold, 1/2,Plant,Fungus,Medium,Un,Underdark,FEF p.194,,
Rust monster, 1/2,Monstrosity,N/A,Medium,Un,Underdark,MM p.262,,
Salamander,5    ,Elemental,N/A,Large,NE,"Special, Underdark",MM p.266,,
Sand spider,7    ,Beast,N/A,Large,Un,"Desert, Underdark",ToB p.364,,
Sarcophagus slime,5    ,Undead,N/A,Medium,NE,"Special, Underdark",ToB p.336,,
Sathaq worm,10    ,Elemental,N/A,Huge,NE,"Desert, Special, Underdark",ToB p.337,,
Scheznyki,6    ,Fey,N/A,Small,CE,"Special, Underdark",ToB p.339,,
Shadow, 1/2,Undead,N/A,Medium,CE,"Underdark, Urban",MM p.269,,
Shellycoat,2    ,Fey,N/A,Medium,NE,"Arctic, Coastal, Forest, Swamp, Underdark",ToB p.346,,
Shrieker,0    ,Plant,Fungus,Medium,Un,Underdark,MM p.138,,
Shroom,4    ,Plant,Fungus,Small,CE,"Forest, Swamp, Underdark",FEF p.209,,
Skin bat, 1/2,Undead,N/A,Small,NE,"Mountain, Special, Swamp, Underdark",ToB p.87,,
Spectator,3    ,Aberration,N/A,Medium,LN,Underdark,MM p.30,,
Spirit naga,8    ,Monstrosity,N/A,Large,CE,"Special, Underdark",MM p.234,,
Stegocentipede,4    ,Beast,N/A,Huge,Un,"Forest, Underdark",FEF p.217,,
Stone giant,7    ,Giant,N/A,Huge,N,"Coastal, Hill, Mountain, Underdark",MM p.156,,
Stone giant dreamwalker,10    ,Giant,Stone giant,Huge,CN,"Coastal, Hill, Mountain, Underdark",VGtM p.150,,
Strangle weed,2    ,Plant,Aquatic,Large,Un,"Coastal, Swamp, Underdark, Underwater",FEF p.218,,
Stygian fat-tailed scorpion,3    ,Beast,N/A,Tiny,Un,"Desert, Special, Underdark",ToB p.340,,
Stygian skeleton,7    ,Undead,N/A,Medium,CE,Underdark,FEF p.212,,
Swarm of bats, 1/4,Beast,N/A,Medium (tiny),Un,"Hill, Mountain, Underdark, Urban",MM p.337,,
Swarm of rats, 1/4,Beast,N/A,Medium (tiny),Un,"Swamp, Underdark, Urban",MM p.339,,
Swarm of sluagh,3    ,Fey,N/A,Medium (tiny),CE,"Arctic, Underdark",ToB p.376,,
Tentacled horror,11    ,Aberration,N/A,Huge,CE,Underdark,FEF p.225,,
Thorny,1    ,Plant,N/A,Medium,N,"Forest, Swamp, Underdark",VGtM p.197,,
Thursir giant,3    ,Giant,N/A,Large,NE/LE,"Arctic, Mountain, Underdark",ToB p.227,,
Trapper,3    ,Monstrosity,N/A,Large,Un,Underdark,VGtM p.194,,
Troglodyte, 1/4,Humanoid,Troglodyte,Medium,CE,Underdark,MM p.290,,
Troglodyte champion of laogzed,3    ,Humanoid,Troglodyte,Medium,CE,Underdark,OotA p.229,,
Troll,5    ,Giant,N/A,Large,CE,"Arctic, Forest, Hill, Mountain, Swamp, Underdark",MM p.291,,
Tunnel prawn, 1/8,Beast,N/A,Small,Un,Underdark,FEF p.236,,
Tunnel worm,8    ,Monstrosity,N/A,Huge,Un,Underdark,FEF p.237,,
Two-headed troll,6    ,Giant,N/A,Large,CE,"Hill, Mountain, Underdark",FEF p.235,,
Ulitharid,9    ,Aberration,N/A,Large,LE,Underdark,VGtM p.175,,
Umber hulk,5    ,Monstrosity,N/A,Large,CE,Underdark,MM p.292,,
Urochar (strangling watcher),17    ,Aberration,N/A,Huge,CE,Underdark,ToB p.393,,
Vampire spawn,5    ,Undead,N/A,Medium,NE,"Underdark, Urban",MM p.298,,
Vampiric ixitxachitl,2    ,Aberration,N/A,Medium,CE,"Underdark, Underwater",OotA p.226,,
Vargouille,1    ,Fiend,N/A,Tiny,CE,"Desert, Special, Swamp, Underdark",VGtM p.195,,
Vegepygmy, 1/4,Plant,N/A,Small,N,"Forest, Swamp, Underdark",VGtM p.196,,
Vegepygmy commoner/worker, 1/8,Plant,Fungus,Small,Un,"Forest, Swamp, Underdark",FEF p.239,,
Vegepygmy guard, 1/2,Plant,Fungus,Small,Un,"Forest, Swamp, Underdark",FEF p.239,,
Violet fungus, 1/4,Plant,N/A,Medium,Un,Underdark,MM p.138,,
Volt, 1/4,Aberration,N/A,Small,Un,Underdark,FEF p.241,,
Vulchling, 1/8,Monstrosity,N/A,Medium,CE,Underdark,FEF p.243,,
Water weird,3    ,Elemental,N/A,Large,N,"Special, Underdark, Urban",MM p.299,,
White dracolisk,7    ,Dragon,N/A,Large,Un,"Arctic, Mountain, Underdark",FEF p.85,,
Wight,3    ,Undead,N/A,Medium,NE,"Desert, Swamp, Underdark, Urban",MM p.300,,
Wolfwere,1    ,Monstrosity,Shapechanger,Medium,CE,"Arctic, Forest, Grassland, Hill, Underdark",FEF p.230,,
Wraith,5    ,Undead,N/A,Medium,NE,Underdark,MM p.302,,
Xorn,5    ,Elemental,N/A,Medium,N,"Special, Underdark",MM p.304,,
Xvart, 1/8,Humanoid,Xvart,Small,CE,"Forest, Hill, Mountain, Underdark",VGtM p.199-200,,
Xvart warlock of raxivort,1    ,Humanoid,Xvart,Small,CE,"Forest, Hill, Mountain, Underdark",VGtM p.199-200,,
Yellow musk creeper,1    ,Plant,N/A,Large,Un,"Forest, Swamp, Underdark",FEF p.250,,
Yellow musk zombie, 1/4,Plant,N/A,Medium,NE,"Forest, Swamp, Underdark",FEF p.251,,
Zmey,14    ,Dragon,N/A,Huge,CE,"Forest, Swamp, Underdark, Underwater",ToB p.416-417,,
