Monster,CR,Type,Subtype,Size,Align,Terrain,Sourcebook,,
Black earth priest,3    ,Humanoid,Human,Medium,NE,"Forest, Hill, Mountain, Swamp",PotA p.195-196,,
Blood hag,11    ,Fey,N/A,Medium,CE,"Forest, Special, Swamp",ToB p.242,,
Blood pudding,2    ,Ooze,N/A,Medium,Un,"Swamp, Underdark",FEF p.187,,
Boalisk,1    ,Beast,N/A,Large,Un,"Coastal, Forest, Swamp",FEF p.32,,
Boloti,1    ,Fey,N/A,Tiny,NE,"Coastal, Swamp, Underwater",ToB p.38,,
Bonesucker,4    ,Aberration,N/A,Large,NE,"Forest, Grassland, Hill, Swamp, Underdark",FEF p.35,,
Bukavac,9    ,Monstrosity,N/A,Large,NE,"Forest, Swamp, Underwater",ToB p.47,,
Bullywug, 1/4,Humanoid,Bullywug,Medium,NE,Swamp,MM p.35,,
Burrowshark,4    ,Humanoid,Human,Medium,NE,"Forest, Hill, Mountain, Swamp",PotA p.196,,
Carrion crawler,2    ,Monstrosity,N/A,Large,Un,"Special, Swamp, Underdark",MM p.37,,
Catoblepas,5    ,Monstrosity,N/A,Large,Un,Swamp,FEF p.47; VGtM p.129,,
Chain worm,12    ,Beast,N/A,Large,Un,"Forest, Grassland, Hill, Swamp, Underdark",FEF p.54,,
Chupacabra,1    ,Humanoid,N/A,Small,CN,"Forest, Hill, Swamp, Urban",FEF p.56,,
Churr,4    ,Monstrosity,N/A,Large,NE,"Forest, Swamp",FEF p.58,,
Coffer corpse,2    ,Undead,N/A,Medium,CE,"Forest, Grassland, Hill, Swamp, Underdark",FEF p.64,,
Constrictor snake, 1/4,Beast,N/A,Large,Un,"Desert, Forest, Swamp, Underwater",MM p.320,,
Corrupting ooze,5    ,Ooze,N/A,Large,NE,"Swamp, Urban",ToB p.311,,
Crabman,1    ,Monstrosity,N/A,Large,N,"Coastal, Swamp, Underwater",FEF p.69,,
Crimson mist,7    ,Aberration,N/A,Medium,NE,"Swamp, Underdark",FEF p.71,,
Crocodile, 1/2,Beast,N/A,Large,Un,"Swamp, Urban",MM p.320,,
Crushing wave priest,2    ,Humanoid,Human,Medium,NE,"Arctic, Coastal, Forest, Swamp",PotA p.205,,
Crushing wave reaver, 1/2,Humanoid,Human,Medium,NE,"Arctic, Coastal, Forest, Swamp",PotA p.205,,
Dagon,20    ,Fiend,Aquatic,Large,CE,"Coastal, Swamp, Underwater, Special",FEF p.73,,
Dark tide knight,3    ,Humanoid,Human,Medium,LE,"Arctic, Coastal, Forest, Swamp",PotA p.205-206,,
Darkling, 1/2,Fey,N/A,Small,CN,"Forest, Special, Swamp, Underdark, Urban",VGtM p.134,,
Darkling elder,2    ,Fey,N/A,Medium,CN,"Forest, Special, Swamp, Underdark, Urban",VGtM p.134,,
Dimetrodon, 1/4,Beast,N/A,Medium,Un,"Coastal, Swamp",VGtM p.139,,
Dipsa, 1/4,Ooze,N/A,Tiny,Un,"Swamp, Underdark",ToB p.118,,
Dorreq,4    ,Aberration,N/A,Medium,NE,"Coastal, Desert, Mountain, Swamp, Underdark",ToB p.124,,
Eblis, 1/2,Monstrosity,N/A,Medium,NE,"Forest, Swamp",FEF p.89,,
Eel hound,2    ,Fey,N/A,Medium,N,"Coastal, Forest, Swamp, Underwater",ToB p.166,,
Eleinomae,5    ,Fey,N/A,Medium,CE,Swamp,ToB p.168,,
Fathomer,2    ,Humanoid,Human,Medium,NE,"Arctic, Coastal, Forest, Swamp",PotA p.207,,
Fen witch,2    ,Monstrosity,N/A,Medium,CE,Swamp,FEF p.99,,
Feyward tree,8    ,Construct,N/A,Huge,Un,"Forest, Special, Swamp",ToB p.200,,
Flab giant,4    ,Giant,N/A,Large,CE,"Forest, Grassland, Hill, Mountain, Swamp",ToB p.223,,
Flowershroud,1    ,Plant,N/A,Large,Un,"Forest, Grassland, Hill, Swamp",FEF p.104,,
Forest marauder,4    ,Giant,N/A,Large,CE,"Forest, Hill, Swamp",ToB p.205,,
Frog,0    ,Beast,N/A,Tiny,Un,"Forest, Swamp",MM p.322,,
Fungoid,2    ,Plant,Fungus,Medium,NE,Swamp,FEF p.108,,
Gallows tree,13    ,Plant,N/A,Huge,Un,"Forest, Grassland, Hill, Swamp",FEF p.111,,
Gallows tree zombie,2    ,Plant,N/A,Medium,Un,"Forest, Grassland, Hill, Swamp",FEF p.112,,
Gerridae,1    ,Fey,N/A,Large,N,"Coastal, Forest, Swamp",ToB p.212,,
Ghast,2    ,Undead,N/A,Medium,CE,"Swamp, Underdark, Urban",MM p.148,,
Ghoul,1    ,Undead,N/A,Medium,CE,"Swamp, Underdark, Urban",MM p.148,,
Giant constrictor snake,2    ,Beast,N/A,Huge,Un,"Desert, Forest, Swamp, Underdark, Underwater",MM p.324,,
Giant crocodile,5    ,Beast,N/A,Huge,Un,"Swamp, Urban",MM p.324,,
Giant electric catfish,3    ,Beast,Aquatic,Large,Un,"Coastal, Swamp, Underwater",FEF p.46,,
Giant frog, 1/4,Beast,N/A,Medium,Un,"Forest, Swamp",MM p.325,,
Giant lizard, 1/4,Beast,N/A,Large,Un,"Coastal, Desert, Forest, Swamp, Underdark",MM p.326,,
Giant moray eel,2    ,Beast,Aquatic,Medium,Un,"Coastal, Swamp, Underwater",FEF p.91,,
Giant rat, 1/8,Beast,N/A,Small,Un,"Forest, Swamp, Underdark, Urban",MM p.327,,
Giant slug of p'nahk,4    ,Fiend,N/A,Large,CE,"Special, Swamp, Underdark",FEF p.119,,
Giant spider,1    ,Beast,N/A,Large,Un,"Desert, Forest, Swamp, Underdark, Urban",MM p.328,,
Giant toad,1    ,Beast,N/A,Large,Un,"Coastal, Desert, Forest, Swamp, Underdark",MM p.329,,
Giant water beetle, 1/2,Beast,Aquatic,Medium,Un,"Coastal, Swamp, Underwater",FEF p.25,,
Girallon,4    ,Monstrosity,N/A,Large,Un,"Forest, Hill, Swamp, Special",VGtM p.152,,
Glass gator,1    ,Beast,N/A,Large,Un,"Coastal, Swamp, Underdark, Underwater",ToB p.228,,
Gorbel, 1/4,Aberration,N/A,Small,N,"Forest, Swamp",FEF p.130,,
Gorilla bear,1    ,Monstrosity,N/A,Medium,Un,"Forest, Swamp",FEF p.132,,
Gray nisp,6    ,Fey,N/A,Large,CN,"Coastal, Swamp, Underwater",FEF p.133,,
Green hag,3    ,Fey,N/A,Medium,NE,"Forest, Hill, Swamp",MM p.177,,
Green hag (in coven),5    ,Fey,N/A,Medium,NE,"Forest, Hill, Swamp","MM p.176, 179",,
Grippli, 1/4,Humanoid,N/A,Small,N,"Forest, Swamp",FEF p.136,,
Grung, 1/4,Humanoid,Grung,Small,LE,"Coastal, Forest, Swamp",VGtM p.156,,
Grung elite warrior,2    ,Humanoid,Grung,Small,LE,"Coastal, Forest, Swamp",VGtM p.157,,
Grung wildling,1    ,Humanoid,Grung,Small,LE,"Coastal, Forest, Swamp",VGtM p.157,,
Hadrosaurus, 1/4,Beast,N/A,Large,Un,"Forest, Grassland, Hill, Swamp",VGtM p.140,,
Hangman tree,7    ,Plant,N/A,Huge,NE,"Forest, Swamp",FEF p.140,,
Hanu-naga,2    ,Monstrosity,N/A,Large,CE,"Forest, Mountain, Swamp, Special",FEF p.175,,
Hawktoad, 1/4,Monstrosity,N/A,Small,Un,"Forest, Swamp",FEF p.141,,
Horakh,9    ,Monstrosity,N/A,Medium,N,"Forest, Swamp, Underdark",ToB p.250,,
Hydra,8    ,Monstrosity,N/A,Huge,Un,"Coastal, Swamp",MM p.190,,
Idolic deity,8    ,Construct,N/A,Small,NE,"Desert, Special, Swamp, Underdark",ToB p.255,,
Jaculus,3    ,Dragon,N/A,Small,NE,"Forest, Swamp",ToB p.258,,
Kamadan,3    ,Monstrosity,N/A,Large,Un,"Desert, Forest, Grassland, Hill, Swamp",FEF p.153,,
Kech, 1/2,Monstrosity,N/A,Medium,NE,"Forest, Swamp",FEF p.155,,
Kelpie,1    ,Plant,N/A,Medium,NE,"Coastal, Swamp, Underwater",FEF p.156,,
Lemurfolk (kaguani), 1/4,Humanoid,Lemurfolk,Small,N,"Forest, Swamp",ToB p.271,,
Lemurfolk (kaguani) greyfur,4    ,Humanoid,Lemurfolk,Small,N,"Forest, Swamp",ToB p.271,,
Leucrotta,3    ,Monstrosity,N/A,Large,CE,"Desert, Forest, Grassland, Hill, Swamp",VGtM p.169,,
"Leucrotta, adult",2    ,Monstrosity,N/A,Large,CE,"Desert, Forest, Grassland, Hill, Swamp",FEF p.164,,
"Leucrotta, young", 1/4,Monstrosity,N/A,Medium,CE,"Desert, Forest, Grassland, Hill, Swamp",FEF p.164,,
Lightning treant,6    ,Plant,N/A,Huge,NE,"Forest, Swamp",FEF p.231,,
Lithonnite,4    ,Monstrosity,N/A,Large,Un,"Coastal, Swamp, Underdark, Underwater",FEF p.165,,
Lizard king/queen,4    ,Humanoid,Lizardfolk,Medium,CE,"Forest, Swamp",MM p.205,,
Lizardfolk, 1/2,Humanoid,Lizardfolk,Medium,N,"Forest, Swamp",MM p.204,,
Lizardfolk shaman,2    ,Humanoid,Lizardfolk,Medium,N,"Forest, Swamp",MM p.205,,
Mandrill, 1/8,Beast,N/A,Small,Un,"Forest, Swamp",FEF p.168,,
Mbielu,3    ,Beast,N/A,Huge,Un,"Coastal, Swamp, Underwater",ToB p.114,,
Medusa,6    ,Monstrosity,N/A,Medium,LE,"Desert, Swamp",MM p.214,,
Meenlock,2    ,Fey,N/A,Small,NE,"Forest, Swamp, Underdark, Urban",VGtM p.170,,
Millitaur,3    ,Monstrosity,N/A,Large,N,"Forest, Swamp",ToB p.288,,
Miremal, 1/2,Fey,N/A,Small,CE,"Forest, Swamp",ToB p.292,,
Mirror hag,6    ,Fey,N/A,Medium,CN,"Forest, Mountain, Special, Swamp",ToB p.243,,
Mongrelfolk, 1/4,Humanoid,Mongrelfolk,Medium,Any,"Forest, Hills, Special, Swamp, Urban",CoS p.234,,
Monstrous crayfish,2    ,Beast,Aquatic,Large,Un,"Coastal, Swamp, Underwater",FEF p.70,,
Moss lurker,1    ,Humanoid,N/A,Small,CN,"Forest, Hill, Swamp",ToB p.298,,
Mud mephit, 1/4,Elemental,N/A,Small,NE,"Special, Swamp",MM p.216,,
Mummy of the deep,2    ,Undead,Aquatic,Medium,NE,"Coastal, Swamp, Underwater",FEF p.173,,
Mustard jelly,5    ,Ooze,N/A,Large,Un,Swamp,FEF p.151,,
Nichny,6    ,Fey,N/A,Medium,NE,"Forest, Swamp",ToB p.303,,
One-eyed shiver,3    ,Humanoid,Human,Medium,CE,"Arctic, Coastal, Forest, Swamp",PotA p.207,,
Possessed pillar,7    ,Construct,N/A,Large,Un,"Desert, Swamp",ToB p.314,,
Putrid haunt,2    ,Undead,N/A,Medium,NE,Swamp,ToB p.315,,
Quickling,1    ,Fey,N/A,Tiny,CE,"Forest, Special, Swamp",VGtM p.187,,
Qwyllion,8    ,Aberration,Fey,Medium,NE,"Forest, Swamp",ToB p.316,,
Rat,0    ,Beast,N/A,Tiny,Un,"Swamp, Underdark, Urban",MM p.335,,
Raven,0    ,Beast,N/A,Tiny,Un,"Hill, Swamp, Urban",MM p.335,,
Ravenala,5    ,Plant,N/A,Large,Un,"Coastal, Swamp",ToB p.321,,
Red-banded line spider, 1/4,Beast,N/A,Tiny,Un,"Forest, Swamp, Urban",ToB p.363,,
Roachling lord,2    ,Humanoid,Roachling,Small,CN,"Swamp, Underdark, Urban",ToB p.329,,
Roachling skirmisher, 1/4,Humanoid,Roachling,Small,CN,"Swamp, Underdark, Urban",ToB p.329,,
Sacred stone monk, 1/2,Humanoid,Human,Medium,LE,"Forest, Hill, Mountain, Swamp",PotA p.196,,
Sap demon,4    ,Ooze,N/A,Small,CE,"Forest, Swamp",ToB p.335,,
Serpopard,4    ,Beast,N/A,Large,Un,"Desert, Swamp",ToB p.342,,
Shabti,8    ,Construct,N/A,Medium,Un,"Desert, Swamp",ToB p.343,,
Shambling mound,5    ,Plant,N/A,Large,Un,"Forest, Swamp",MM p.270,,
Shellycoat,2    ,Fey,N/A,Medium,NE,"Arctic, Coastal, Forest, Swamp, Underdark",ToB p.346,,
Shroom,4    ,Plant,Fungus,Small,CE,"Forest, Swamp, Underdark",FEF p.209,,
Skin bat, 1/2,Undead,N/A,Small,NE,"Mountain, Special, Swamp, Underdark",ToB p.87,,
Spinosaurus,13    ,Beast,N/A,Gargantuan,Un,"Coastal, Forest, Swamp",ToB p.116-117,,
Stonemelder,4    ,Humanoid,Human,Medium,NE,"Forest, Hill, Mountain, Swamp",PotA p.197,,
Strangle weed,2    ,Plant,Aquatic,Large,Un,"Coastal, Swamp, Underdark, Underwater",FEF p.218,,
Subek,5    ,Humanoid,Subek,Large,LN,"Forest, Swamp",ToB p.371,,
Suturefly, 1/4,Beast,N/A,Tiny,Un,"Forest, Swamp",ToB p.372,,
Swamp adder, 1/4,Beast,N/A,Small,Un,Swamp,ToB p.354,,
Swarm of centipedes, 1/2,Beast,N/A,Medium (tiny),Un,"Desert, Forest, Grassland, Hill, Swamp, Urban",FEF p.52,,
Swarm of poisonous snakes,2    ,Beast,N/A,Medium (tiny),Un,"Forest, Swamp",MM p.338,,
Swarm of prismatic beetles,3    ,Beast,N/A,Medium (tiny),Un,Swamp,ToB p.375,,
Swarm of rats, 1/4,Beast,N/A,Medium (tiny),Un,"Swamp, Underdark, Urban",MM p.339,,
Swarm of ravens, 1/4,Beast,N/A,Medium (tiny),Un,"Hill, Swamp, Urban",MM p.339,,
Tabaxi, 1/2,Humanoid,N/A,Medium,CN,"Forest, Swamp",FEF p.219,,
Tendril puppet,2    ,Plant,N/A,Medium,LN,"Forest, Swamp",ToB p.403,,
Thalasskoptis,10    ,Fiend,Demon,Large,CE,"Coastal, Swamp, Underwater, Special",FEF p.81,,
Thorny,1    ,Plant,N/A,Medium,N,"Forest, Swamp, Underdark",VGtM p.197,,
Titanoboa,12    ,Beast,N/A,Gargantuan,Un,Swamp,ToB p.382,,
Tri-flower frond, 1/2,Plant,N/A,Medium,Un,"Forest, Hill, Swamp",FEF p.232,,
Troll,5    ,Giant,N/A,Large,CE,"Arctic, Forest, Hill, Mountain, Swamp, Underdark",MM p.291,,
Vargouille,1    ,Fiend,N/A,Tiny,CE,"Desert, Special, Swamp, Underdark",VGtM p.195,,
Vegepygmy, 1/4,Plant,N/A,Small,N,"Forest, Swamp, Underdark",VGtM p.196,,
Vegepygmy commoner/worker, 1/8,Plant,Fungus,Small,Un,"Forest, Swamp, Underdark",FEF p.239,,
Vegepygmy guard, 1/2,Plant,Fungus,Small,Un,"Forest, Swamp, Underdark",FEF p.239,,
Venomous mummy,3    ,Undead,N/A,Medium,LE,"Desert, Swamp",ToB p.299,,
Vine lord,7    ,Plant,N/A,Medium,LN,"Forest, Swamp",ToB p.402-403,,
Vine troll skeleton,9    ,Plant,N/A,Large,Un,"Forest, Swamp",ToB p.351,,
Vorin,9    ,Monstrosity,Aquatic,Huge,CE,Swamp,FEF p.242,,
Water elemental,5    ,Elemental,N/A,Large,N,"Coastal, Special, Swamp, Underwater",MM p.125,,
Water elemental myrmidon,7    ,Elemental,Water,Medium,N,"Coastal, Special, Swamp, Underwater",PotA p.213,,
Weasel,0    ,Beast,N/A,Tiny,Un,"Arctic, Coastal, Forest, Hill, Swamp",MM p.340,,
Weeping treant,6    ,Plant,N/A,Huge,N,"Forest, Swamp",ToB p.388,,
Wight,3    ,Undead,N/A,Medium,NE,"Desert, Swamp, Underdark, Urban",MM p.300,,
Will-o'-wisp,2    ,Undead,N/A,Tiny,CE,"Forest, Swamp, Urban",MM p.301,,
Witch grass,0    ,Plant,N/A,Small,Un,"Forest, Grassland, Hill, Swamp",FEF p.248,,
Wood woad,5    ,Plant,N/A,Medium,LN,"Forest, Swamp",VGtM p.198,,
Woolly rhinoceros,6    ,Beast,N/A,Large,Un,"Arctic, Forest, Grassland, Swamp",FEF p.186,,
Wyvern,6    ,Dragon,N/A,Large,Un,"Forest, Hill, Mountain, Swamp",MM p.303,,
Yellow musk creeper,1    ,Plant,N/A,Large,Un,"Forest, Swamp, Underdark",FEF p.250,,
Yellow musk zombie, 1/4,Plant,N/A,Medium,NE,"Forest, Swamp, Underdark",FEF p.251,,
Yuan-ti abomination,7    ,Monstrosity,Yuan-ti/shapechanger,Large,NE,"Desert, Forest, Swamp",MM p.308,,
Yuan-ti anathema,12    ,Monstrosity,Yuan-ti/shapechanger,Huge,NE,"Desert, Forest, Swamp",VGtM p.202-203,,
Yuan-ti broodguard,2    ,Humanoid,Yuan-ti,Medium,NE,"Desert, Forest, Swamp",VGtM p.203,,
Yuan-ti malison,3    ,Monstrosity,Yuan-ti/Shapechanger,Medium,NE,"Desert, Forest, Swamp",MM p.309,,
Yuan-ti mind whisperer,4    ,Monstrosity,Yuan-ti/shapechanger,Medium,NE,"Desert, Forest, Swamp",VGtM p.203-204,,
Yuan-ti nightmare speaker,4    ,Monstrosity,Yuan-ti/shapechanger,Medium,NE,"Desert, Forest, Swamp",VGtM p.204-205,,
Yuan-ti pitmaster,5    ,Monstrosity,Yuan-ti/shapechanger,Medium,NE,"Desert, Forest, Swamp",VGtM p.206,,
Yuan-ti pureblood,1    ,Monstrosity,Yuan-ti,Medium,NE,"Desert, Forest, Swamp, Urban",MM p.310,,
Zanskaran viper,1    ,Beast,N/A,Large,Un,"Grassland, Swamp",ToB p.354,,
Zimwi,4    ,Giant,N/A,Medium,CE,"Desert, Grassland, Swamp",ToB p.415,,
Zmey,14    ,Dragon,N/A,Huge,CE,"Forest, Swamp, Underdark, Underwater",ToB p.416-417,,
