Monster,CR,Type,Subtype,Size,Align,Terrain,Sourcebook,,
Bonesucker,4    ,Aberration,N/A,Large,NE,"Forest, Grassland, Hill, Swamp, Underdark",FEF p.35,,
Borsin (ape centaur),3    ,Monstrosity,N/A,Large,CE,"Forest, Grassland, Hill",FEF p.36,,
Brontosaurus,5    ,Beast,N/A,Gargantuan,Un,"Forest, Grassland, Hill",VGtM p.139,,
Brontotherium,6    ,Beast,N/A,Huge,Un,"Forest, Grassland, Hill",FEF p.183,,
Brown bear,1    ,Beast,N/A,Large,Un,"Arctic, Forest, Hill",MM p.319,,
Bugbear,1    ,Humanoid,Goblinoid,Medium,CE,"Forest, Grassland, Underdark",MM p.33,,
Bugbear chief,3    ,Humanoid,Goblinoid,Medium,CE,"Forest, Grassland, Underdark",MM p.33,,
Bukavac,9    ,Monstrosity,N/A,Large,NE,"Forest, Swamp, Underwater",ToB p.47,,
Burrowling, 1/2,Humanoid,Burrowling,Small,LN,"Forest, Grassland, Hill",ToB p.49,,
Burrowshark,4    ,Humanoid,Human,Medium,NE,"Forest, Hill, Mountain, Swamp",PotA p.196,,
Carbuncle, 1/8,Aberration,N/A,Small,Un,Forest,FEF p.42,,
Carytid column,1    ,Construct,N/A,Medium,Un,"Forest, Grassland, Hill",FEF p.43,,
Cat,0    ,Beast,N/A,Tiny,Un,"Desert, Forest, Grassland, Urban",MM p.320,,
Centaur,2    ,Monstrosity,N/A,Large,NG,"Forest, Grassland",MM p.38,,
Cerebral stalker,5    ,Aberration,N/A,Medium,CE,"Coastal, Forest, Grassland, Hill, Mountain",FEF p.53,,
Chain worm,12    ,Beast,N/A,Large,Un,"Forest, Grassland, Hill, Swamp, Underdark",FEF p.54,,
Chaos knight,4    ,Fiend,N/A,Medium,CE,"Forest, Grassland, Hill",FEF p.55,,
Chelicerae,7    ,Aberration,N/A,Large,NE,"Desert, Forest, Mountain, Special, Urban",ToB p.54,,
Child of the briar,1    ,Plant,N/A,Tiny,NE,"Forest, Hill, Special",ToB p.56,,
Chupacabra,1    ,Humanoid,N/A,Small,CN,"Forest, Hill, Swamp, Urban",FEF p.56,,
Churr,4    ,Monstrosity,N/A,Large,NE,"Forest, Swamp",FEF p.58,,
Clamor,2    ,Aberration,Extraplanar/incorporeal,Medium,Un,"Desert, Forest, Grassland, Hill, Mountain",FEF p.62,,
Cobra flower,2    ,Plant,N/A,Large,Un,"Arctic, Forest, Mountain",FEF p.63,,
Coffer corpse,2    ,Undead,N/A,Medium,CE,"Forest, Grassland, Hill, Swamp, Underdark",FEF p.64,,
Constrictor snake, 1/4,Beast,N/A,Large,Un,"Desert, Forest, Swamp, Underwater",MM p.320,,
Cooshee,1    ,Monstrosity,N/A,Medium,NG,Forest,FEF p.65,,
Couatl,4    ,Celestial,N/A,Medium,LG,"Desert, Forest, Grassland, Urban",MM p.43,,
Crag cat,1    ,Beast,N/A,Large,Un,"Arctic, Forest, Mountain",SKT p.240,,
Crimson drake,1    ,Dragon,N/A,Tiny,CE,"Forest, Hill, Mountain",ToB p.151,,
Crushing wave priest,2    ,Humanoid,Human,Medium,NE,"Arctic, Coastal, Forest, Swamp",PotA p.205,,
Crushing wave reaver, 1/2,Humanoid,Human,Medium,NE,"Arctic, Coastal, Forest, Swamp",PotA p.205,,
Dark tide knight,3    ,Humanoid,Human,Medium,LE,"Arctic, Coastal, Forest, Swamp",PotA p.205-206,,
Darkling, 1/2,Fey,N/A,Small,CN,"Forest, Special, Swamp, Underdark, Urban",VGtM p.134,,
Darkling elder,2    ,Fey,N/A,Medium,CN,"Forest, Special, Swamp, Underdark, Urban",VGtM p.134,,
Death worm,3    ,Monstrosity,N/A,Large,Un,"Forest, Grassland, Hill",FEF p.78,,
Decapus,2    ,Aberration,N/A,Medium,CE,"Forest, Special, Underdark",FEF p.79,,
Deer,0    ,Beast,N/A,Medium,Un,"Forest, Grassland",MM p.321,,
Deinonychus,1    ,Beast,N/A,Medium,Un,"Forest, Grassland, Hill",VGtM p.139,,
Denizen of leng,5    ,Aberration,N/A,Medium,CE,"Desert, Forest, Grassland, Hill, Mountain",FEF p.83,,
Dire wolf,1    ,Beast,N/A,Large,Un,"Forest, Hill",MM p.321,,
Displacer beast,3    ,Monstrosity,N/A,Large,LE,Forest,MM p.81,,
Domovoi,4    ,Fey,N/A,Medium,CN,"Forest, Special, Underdark, Urban",ToB p.122,,
Dryad,1    ,Fey,N/A,Medium,N,Forest,MM p.121,,
Duskthorn dryad,3    ,Fey,N/A,Medium,Any-C,Forest,ToB p.160,,
Eblis, 1/2,Monstrosity,N/A,Medium,NE,"Forest, Swamp",FEF p.89,,
Eel hound,2    ,Fey,N/A,Medium,N,"Coastal, Forest, Swamp, Underwater",ToB p.166,,
Elder shadow drake,7    ,Dragon,N/A,Large,CE,"Forest, Special, Underdark",ToB p.153,,
Elk, 1/4,Beast,N/A,Large,Un,"Forest, Grassland, Hill",MM p.322,,
Elusa hound,1    ,Monstrosity,N/A,Medium,Un,"Forest, Grassland, Hill",FEF p.93,,
Encephalon gorger,4    ,Aberration,N/A,Medium,CE,"Desert, Forest, Grassland, Hill, Mountain",FEF p.94,,
Erina defender,1    ,Humanoid,Erina,Small,N,"Forest, Grassland, Hill, Mountain, Urban",ToB p.178,,
Erina scrounger, 1/4,Humanoid,Erina,Small,N,"Forest, Grassland, Hill, Mountain, Urban",ToB p.178,,
Eternal flame guardian,2    ,Humanoid,Human,Medium,CE,"Desert, Forest, Grassland, Hill",PotA p.200,,
Eternal flame priest,3    ,Humanoid,Human,Medium,NE,"Desert, Forest, Grassland, Hill",PotA p.200-201,,
Ettercap,2    ,Monstrosity,N/A,Medium,NE,Forest,MM p.131,,
"Faerie dragon (green, blue, indigo, violet)",2    ,Dragon,N/A,Tiny,CG,Forest,MM p.133,,
"Faerie dragon (red, orange, yellow)",1    ,Dragon,N/A,Tiny,CG,Forest,MM p.133,,
Far darrig,3    ,Fey,N/A,Small,N,"Arctic, Forest, Special",ToB p.179,,
Fathomer,2    ,Humanoid,Human,Medium,NE,"Arctic, Coastal, Forest, Swamp",PotA p.207,,
Feyward tree,8    ,Construct,N/A,Huge,Un,"Forest, Special, Swamp",ToB p.200,,
Flab giant,4    ,Giant,N/A,Large,CE,"Forest, Grassland, Hill, Mountain, Swamp",ToB p.223,,
Flamewrath,6    ,Humanoid,Human,Medium,CE,"Desert, Forest, Grassland, Hill",PotA p.201,,
Flowershroud,1    ,Plant,N/A,Large,Un,"Forest, Grassland, Hill, Swamp",FEF p.104,,
Flying ape,2    ,Monstrosity,N/A,Large,CN,"Forest, Grassland, Hill",FEF p.12,,
Flying snake, 1/8,Beast,N/A,Tiny,Un,"Desert, Forest, Grassland, Urban",MM p.322,,
Forest marauder,4    ,Giant,N/A,Large,CE,"Forest, Hill, Swamp",ToB p.205,,
Forester's bane,5    ,Plant,N/A,Large,Un,"Forest, Grassland",FEF p.106,,
Foxwere, 1/2,Monstrosity,Shapechanger,Small,LE,"Arctic, Forest, Hill, Underdark",FEF p.227,,
Frog,0    ,Beast,N/A,Tiny,Un,"Forest, Swamp",MM p.322,,
Fungus gargoyle,3    ,Plant,Fungus,Medium,NE,"Desert, Forest, Grassland, Hill, Underdark",FEF p.114,,
Fyr, 1/4,Fey,N/A,Small,N,"Forest, Mountain",FEF p.110,,
Gallows tree,13    ,Plant,N/A,Huge,Un,"Forest, Grassland, Hill, Swamp",FEF p.111,,
Gallows tree zombie,2    ,Plant,N/A,Medium,Un,"Forest, Grassland, Hill, Swamp",FEF p.112,,
Gerridae,1    ,Fey,N/A,Large,N,"Coastal, Forest, Swamp",ToB p.212,,
Giant ape,7    ,Beast,N/A,Huge,Un,Forest,MM p.323,,
Giant badger, 1/4,Beast,N/A,Medium,Un,Forest,MM p.323,,
Giant bat, 1/4,Beast,N/A,Large,Un,"Forest, Underdark",MM p.323,,
Giant beetle exoskeleton,2    ,Construct,N/A,Large,Un,"Desert, Forest, Grassland, Hill, Mountain",FEF p.96,,
Giant boar,2    ,Beast,N/A,Large,Un,"Forest, Grassland, Hill",MM p.323,,
Giant constrictor snake,2    ,Beast,N/A,Huge,Un,"Desert, Forest, Swamp, Underdark, Underwater",MM p.324,,
Giant crab exoskeleton,3    ,Construct,N/A,Large,Un,"Desert, Forest, Grassland, Hill, Mountain",FEF p.97,,
Giant elk,2    ,Beast,N/A,Huge,Un,"Forest, Grassland, Hill, Mountain",MM p.325,,
Giant frog, 1/4,Beast,N/A,Medium,Un,"Forest, Swamp",MM p.325,,
Giant hyena,1    ,Beast,N/A,Large,Un,"Desert, Forest, Grassland, Hill",MM p.326,,
Giant lizard, 1/4,Beast,N/A,Large,Un,"Coastal, Desert, Forest, Swamp, Underdark",MM p.326,,
Giant owl, 1/4,Beast,N/A,Large,N,"Arctic, Forest, Hill",MM p.327,,
Giant rat, 1/8,Beast,N/A,Small,Un,"Forest, Swamp, Underdark, Urban",MM p.327,,
Giant rhinoceros beetle,4    ,Beast,N/A,Large,Un,"Forest, Grassland, Hill",FEF p.24,,
Giant slicer beetle,3    ,Beast,N/A,Large,Un,"Forest, Grassland, Hill",FEF p.24,,
Giant spider,1    ,Beast,N/A,Large,Un,"Desert, Forest, Swamp, Underdark, Urban",MM p.328,,
Giant toad,1    ,Beast,N/A,Large,Un,"Coastal, Desert, Forest, Swamp, Underdark",MM p.329,,
Giant wasp, 1/2,Beast,N/A,Medium,Un,"Forest, Grassland, Urban",MM p.329,,
Giant weasel, 1/8,Beast,N/A,Medium,Un,"Forest, Grassland, Hill",MM p.329,,
Giant wolf spider, 1/4,Beast,N/A,Medium,Un,"Coastal, Desert, Forest, Grassland, Hill",MM p.330,,
Girallon,4    ,Monstrosity,N/A,Large,Un,"Forest, Hill, Swamp, Special",VGtM p.152,,
Gloom crawler,10    ,Monstrosity,N/A,Huge,N,"Forest, Grassland, Hill, Underdark",FEF p.122,,
Gnarlwood,8    ,Plant,N/A,Huge,NE,Forest,FEF p.123,,
Goblin, 1/4,Humanoid,Goblinoid,Small,NE,"Forest, Grassland, Hill, Underdark",MM p.166,,
Goblin boss,1    ,Humanoid,Goblinoid,Small,NE,"Forest, Grassland, Hill, Underdark",MM p.166,,
"Gold dragon, adult",17    ,Dragon,N/A,Huge,LG,"Forest, Grassland",MM p.114,,
"Gold dragon, ancient",24    ,Dragon,N/A,Gargantuan,LG,"Forest, Grassland",MM p.113,,
"Gold dragon, wyrmling",3    ,Dragon,N/A,Medium,LG,"Forest, Grassland",MM p.115,,
"Gold dragon, young",10    ,Dragon,N/A,Large,LG,"Forest, Grassland",MM p.115,,
Golden cat,0    ,Beast,N/A,Tiny,Un,"Coastal, Forest, Grassland, Hill, Urban",FEF p.125,,
Gorbel, 1/4,Aberration,N/A,Small,N,"Forest, Swamp",FEF p.130,,
Gorgon,5    ,Monstrosity,N/A,Large,Un,"Forest, Grassland, Hill",MM p.171,,
Gorilla bear,1    ,Monstrosity,N/A,Medium,Un,"Forest, Swamp",FEF p.132,,
Green dracolisk,7    ,Dragon,N/A,Large,Un,"Forest, Underdark",FEF p.85,,
"Green dragon, adult",15    ,Dragon,N/A,Huge,LE,Forest,MM p.94,,
"Green dragon, ancient",22    ,Dragon,N/A,Gargantuan,LE,Forest,MM p.93,,
"Green dragon, wyrmling",2    ,Dragon,N/A,Medium,LE,Forest,MM p.95,,
"Green dragon, young",8    ,Dragon,N/A,Large,LE,Forest,MM p.94,,
Green hag,3    ,Fey,N/A,Medium,NE,"Forest, Hill, Swamp",MM p.177,,
Green hag (in coven),5    ,Fey,N/A,Medium,NE,"Forest, Hill, Swamp","MM p.176, 179",,
Grick,2    ,Monstrosity,N/A,Medium,N,"Forest, Underdark",MM p.173,,
Grick alpha,7    ,Monstrosity,N/A,Large,N,"Forest, Underdark",MM p.173,,
Grippli, 1/4,Humanoid,N/A,Small,N,"Forest, Swamp",FEF p.136,,
Grue (type 2),2    ,Aberration,N/A,Medium,CE,"Forest, Grassland, Hill, Underdark",FEF p.138,,
Grung, 1/4,Humanoid,Grung,Small,LE,"Coastal, Forest, Swamp",VGtM p.156,,
Grung elite warrior,2    ,Humanoid,Grung,Small,LE,"Coastal, Forest, Swamp",VGtM p.157,,
Grung wildling,1    ,Humanoid,Grung,Small,LE,"Coastal, Forest, Swamp",VGtM p.157,,
Guardian naga,10    ,Monstrosity,N/A,Large,LG,"Desert, Forest, Special",MM p.234,,
Hadrosaurus, 1/4,Beast,N/A,Large,Un,"Forest, Grassland, Hill, Swamp",VGtM p.140,,
Hangman tree,7    ,Plant,N/A,Huge,NE,"Forest, Swamp",FEF p.140,,
Hanu-naga,2    ,Monstrosity,N/A,Large,CE,"Forest, Mountain, Swamp, Special",FEF p.175,,
Harpy,1    ,Monstrosity,N/A,Medium,CE,"Coastal, Forest, Hill, Mountain",MM p.181,,
Hawktoad, 1/4,Monstrosity,N/A,Small,Un,"Forest, Swamp",FEF p.141,,
Helix moth adult,6    ,Beast,N/A,Huge,Un,"Forest, Underdark",FEF p.142,,
Hill giant,5    ,Giant,N/A,Huge,CE,"Forest, Hill, Mountain",MM p.155,,
Hoar fox,1    ,Monstrosity,N/A,Small,Un,"Arctic, Forest, Hill",FEF p.145,,
Hobgoblin, 1/2,Humanoid,Goblinoid,Medium,LE,"Desert, Forest, Grassland, Hill, Underdark",MM p.186,,
Hobgoblin captain,3    ,Humanoid,Goblinoid,Medium,LE,"Desert, Forest, Grassland, Hill, Underdark",MM p.186,,
Hobgoblin devastator,4    ,Humanoid,Goblinoid,Medium,LE,"Desert, Forest, Grassland, Hill, Underdark",VGtM p.161,,
Hobgoblin iron shadow,2    ,Humanoid,Goblinoid,Medium,LE,"Desert, Forest, Grassland, Hill, Underdark",VGtM p.162,,
Hobgoblin warlord,6    ,Humanoid,Goblinoid,Medium,LE,"Desert, Forest, Grassland, Hill, Underdark",MM p.187,,
Horakh,9    ,Monstrosity,N/A,Medium,N,"Forest, Swamp, Underdark",ToB p.250,,
Hound of the night,5    ,Monstrosity,N/A,Large,Un,"Arctic, Forest, Special",ToB p.251,,
Hyena,0    ,Beast,N/A,Medium,Un,"Desert, Forest, Grassland, Hill",MM p.331,,
J'ba fofi spider,3    ,Beast,N/A,Large,Un,"Desert, Forest, Hill",ToB p.362,,
Jack-in-irons giant,7    ,Giant,N/A,Huge,CE,"Forest, Grassland",FEF p.120,,
Jaculi, 1/8,Monstrosity,N/A,Medium,Un,"Forest, Grassland, Hill",FEF p.150,,
Jaculus,3    ,Dragon,N/A,Small,NE,"Forest, Swamp",ToB p.258,,
Jupiter bloodsucker,1    ,Plant,N/A,Medium,Un,Forest,FEF p.152,,
Kamadan,3    ,Monstrosity,N/A,Large,Un,"Desert, Forest, Grassland, Hill, Swamp",FEF p.153,,
Kech, 1/2,Monstrosity,N/A,Medium,NE,"Forest, Swamp",FEF p.155,,
Kenku, 1/4,Humanoid,Kenku,Medium,CN,"Forest, Urban",MM p.194,,
Kot bayun,2    ,Monstrosity,N/A,Medium,N,"Forest, Special",ToB p.268,,
Lake troll,7    ,Giant,N/A,Large,CE,"Forest, Special, Underwater",ToB p.389,,
Land lamprey, 1/4,Beast,N/A,Small,Un,"Forest, Grassland, Hill, Underdark",FEF p.160,,
Lemurfolk (kaguani), 1/4,Humanoid,Lemurfolk,Small,N,"Forest, Swamp",ToB p.271,,
Lemurfolk (kaguani) greyfur,4    ,Humanoid,Lemurfolk,Small,N,"Forest, Swamp",ToB p.271,,
Leshy,1    ,Monstrosity,N/A,Medium,CN,Forest,ToB p.272,,
Leucrotta,3    ,Monstrosity,N/A,Large,CE,"Desert, Forest, Grassland, Hill, Swamp",VGtM p.169,,
"Leucrotta, adult",2    ,Monstrosity,N/A,Large,CE,"Desert, Forest, Grassland, Hill, Swamp",FEF p.164,,
"Leucrotta, young", 1/4,Monstrosity,N/A,Medium,CE,"Desert, Forest, Grassland, Hill, Swamp",FEF p.164,,
Lightning treant,6    ,Plant,N/A,Huge,NE,"Forest, Swamp",FEF p.231,,
Lizard king/queen,4    ,Humanoid,Lizardfolk,Medium,CE,"Forest, Swamp",MM p.205,,
Lizardfolk, 1/2,Humanoid,Lizardfolk,Medium,N,"Forest, Swamp",MM p.204,,
Lizardfolk shaman,2    ,Humanoid,Lizardfolk,Medium,N,"Forest, Swamp",MM p.205,,
Lorelei,5    ,Fey,N/A,Medium,CE,Forest,ToB p.279,,
Mandragora, 1/8,Plant,Fungus,Small,NE,Forest,FEF p.167,,
Mandrill, 1/8,Beast,N/A,Small,Un,"Forest, Swamp",FEF p.168,,
Mastiff, 1/8,Beast,N/A,Medium,Un,"Forest, Hill, Urban",MM p.332,,
Mastodon,4    ,Beast,N/A,Huge,Un,"Arctic, Forest, Hill, Grassland",FEF p.185,,
Meenlock,2    ,Fey,N/A,Small,NE,"Forest, Swamp, Underdark, Urban",VGtM p.170,,
Millitaur,3    ,Monstrosity,N/A,Large,N,"Forest, Swamp",ToB p.288,,
Miremal, 1/2,Fey,N/A,Small,CE,"Forest, Swamp",ToB p.292,,
Mirror hag,6    ,Fey,N/A,Medium,CN,"Forest, Mountain, Special, Swamp",ToB p.243,,
Mongrelfolk, 1/4,Humanoid,Mongrelfolk,Medium,Any,"Forest, Hills, Special, Swamp, Urban",CoS p.234,,
Moss lurker,1    ,Humanoid,N/A,Small,CN,"Forest, Hill, Swamp",ToB p.298,,
Mouth of grolantor,6    ,Giant,Hill giant,Huge,CE,"Forest, Hill, Mountain",VGtM p.149,,
Murder crow,3    ,Undead,N/A,Medium,CE,"Forest, Grassland, Hill",FEF p.174,,
Myling,2    ,Undead,N/A,Small,CE,"Arctic, Forest",ToB p.301,,
Naina,11    ,Dragon,Fey,Large (medium),LE,"Forest, Urban",ToB p.302,,
Needle blight, 1/4,Plant,N/A,Medium,NE,Forest,MM p.32,,
Nichny,6    ,Fey,N/A,Medium,NE,"Forest, Swamp",ToB p.303,,
Nightgarm,6    ,Monstrosity,N/A,Large,CE,"Arctic, Forest, Hill",ToB p.304-305,,
Nilbog,1    ,Humanoid,Goblinoid,Small,CE,"Forest, Grassland, Hill, Underdark",VGtM p.182,,
One-eyed shiver,3    ,Humanoid,Human,Medium,CE,"Arctic, Coastal, Forest, Swamp",PotA p.207,,
Oni (ogre mage),7    ,Giant,N/A,Large,LE,"Forest, Urban",MM p.239,,
Owl,0    ,Beast,N/A,Tiny,Un,"Arctic, Forest",MM p.333,,
Owl harpy,5    ,Monstrosity,N/A,Medium,NE,"Coastal, Forest, Hill, Mountain",ToB p.246,,
Owlbear,3    ,Monstrosity,N/A,Large,Un,Forest,MM p.249,,
Owlwere, 1/2,Monstrosity,Shapechanger,Small,CE,"Forest, Grassland, Hill, Underdark",FEF p.229,,
Panther, 1/4,Beast,N/A,Medium,Un,"Forest, Grassland, Hill",MM p.333,,
Pegasus,2    ,Celestial,N/A,Large,CG,"Forest, Grassland, Hill",MM p.250,,
Phase spider,3    ,Monstrosity,N/A,Large,Un,"Desert, Forest, Grassland, Hill, Underdark, Urban",MM p.334,,
Pixie, 1/4,Fey,N/A,Tiny,NG,Forest,MM p.253,,
Pombero,3    ,Fey,N/A,Medium,CN,"Forest, Special, Urban",ToB p.313,,
Pseudodragon, 1/4,Dragon,N/A,Tiny,NG,"Coastal, Desert, Forest, Hill, Mountain, Urban",MM p.254,,
Quickling,1    ,Fey,N/A,Tiny,CE,"Forest, Special, Swamp",VGtM p.187,,
Quickwood,8    ,Plant,N/A,Huge,N,"Forest, Hill, Mountain",FEF p.190,,
Qwyllion,8    ,Aberration,Fey,Medium,NE,"Forest, Swamp",ToB p.316,,
Razerblast,5    ,Humanoid,Human,Medium,CE,"Desert, Forest, Grassland, Hill",PotA p.201,,
Red hag,7    ,Fey,N/A,Medium,NE,"Coastal, Forest, Underdark",ToB p.244,,
Red-banded line spider, 1/4,Beast,N/A,Tiny,Un,"Forest, Swamp, Urban",ToB p.363,,
Ronus, 1/4,Monstrosity,N/A,Medium,Un,Forest,FEF p.193,,
Rusalka,6    ,Undead,N/A,Medium,CE,"Coastal, Forest",ToB p.331,,
Ryven,1    ,Humanoid,N/A,Medium,N,Forest,FEF p.195,,
Sacred stone monk, 1/2,Humanoid,Human,Medium,LE,"Forest, Hill, Mountain, Swamp",PotA p.196,,
Sap demon,4    ,Ooze,N/A,Small,CE,"Forest, Swamp",ToB p.335,,
Satyr, 1/2,Fey,N/A,Medium,CN,Forest,MM p.267,,
Savager,8    ,Beast,N/A,Large,NE,Forest,ToB p.338,,
Scythe tree,5    ,Plant,N/A,Huge,CE,Forest,FEF p.198,,
Selang,4    ,Fey,N/A,Medium,CE,"Forest, Special",ToB p.341,,
Shambling mound,5    ,Plant,N/A,Large,Un,"Forest, Swamp",MM p.270,,
Shellycoat,2    ,Fey,N/A,Medium,NE,"Arctic, Coastal, Forest, Swamp, Underdark",ToB p.346,,
Shroom,4    ,Plant,Fungus,Small,CE,"Forest, Swamp, Underdark",FEF p.209,,
Snow leopard, 1/4,Beast,N/A,Medium,Un,"Arctic, Forest, Grassland, Mountain",FEF p.163,,
Spawn of arbeyach,5    ,Aberration,N/A,Medium,LE,"Coastal, Desert, Forest, Hill, Mountain",ToB p.97,,
Spinosaurus,13    ,Beast,N/A,Gargantuan,Un,"Coastal, Forest, Swamp",ToB p.116-117,,
Sprite, 1/4,Fey,N/A,Tiny,NG,Forest,MM p.283,,
Stegocentipede,4    ,Beast,N/A,Huge,Un,"Forest, Underdark",FEF p.217,,
Stegosaurus,4    ,Beast,N/A,Huge,Un,"Forest, Grassland, Hill",VGtM p.140,,
Stonemelder,4    ,Humanoid,Human,Medium,NE,"Forest, Hill, Mountain, Swamp",PotA p.197,,
Stryx, 1/8,Monstrosity,N/A,Tiny,N,"Forest, Special",ToB p.369,,
Subek,5    ,Humanoid,Subek,Large,LN,"Forest, Swamp",ToB p.371,,
Suturefly, 1/4,Beast,N/A,Tiny,Un,"Forest, Swamp",ToB p.372,,
Swarm of centipedes, 1/2,Beast,N/A,Medium (tiny),Un,"Desert, Forest, Grassland, Hill, Swamp, Urban",FEF p.52,,
Swarm of poisonous snakes,2    ,Beast,N/A,Medium (tiny),Un,"Forest, Swamp",MM p.338,,
Swarm of wolf spirits,6    ,Undead,N/A,Large (medium),NE,"Arctic, Forest, Special",ToB p.377,,
Tabaxi, 1/2,Humanoid,N/A,Medium,CN,"Forest, Swamp",FEF p.219,,
Tangtal,1    ,Monstrosity,N/A,Medium,NE,"Forest, Grassland",FEF p.221,,
Tendriculos,4    ,Plant,N/A,Large,Un,"Forest, Grassland, Hill",FEF p.224,,
Tendril puppet,2    ,Plant,N/A,Medium,LN,"Forest, Swamp",ToB p.403,,
Thorny,1    ,Plant,N/A,Medium,N,"Forest, Swamp, Underdark",VGtM p.197,,
Tiger,1    ,Beast,N/A,Large,Un,"Forest, Grassland",MM p.339,,
Treant,9    ,Plant,N/A,Huge,CG,Forest,MM p.289,,
Tree blight,7    ,Plant,N/A,Huge,NE,Forest,CoS p.230,,
Tri-flower frond, 1/2,Plant,N/A,Medium,Un,"Forest, Hill, Swamp",FEF p.232,,
Troll,5    ,Giant,N/A,Large,CE,"Arctic, Forest, Hill, Mountain, Swamp, Underdark",MM p.291,,
Trollkin reaver,4    ,Humanoid,Trollkin,Medium,N,"Arctic, Forest, Mountain",ToB p.390,,
Twig blight, 1/8,Plant,N/A,Small,NE,Forest,MM p.32,,
Unicorn,5    ,Celestial,N/A,Large,LG,Forest,MM p.294,,
Vampire rose, 1/4,Plant,N/A,Small,Un,"Forest, Grassland, Hill",FEF p.238,,
Vegepygmy, 1/4,Plant,N/A,Small,N,"Forest, Swamp, Underdark",VGtM p.196,,
Vegepygmy commoner/worker, 1/8,Plant,Fungus,Small,Un,"Forest, Swamp, Underdark",FEF p.239,,
Vegepygmy guard, 1/2,Plant,Fungus,Small,Un,"Forest, Swamp, Underdark",FEF p.239,,
Velociraptor, 1/4,Beast,N/A,Tiny,Un,"Forest, Grassland, Hill",VGtM p.140,,
Vila,5    ,Fey,N/A,Medium,LN,Forest,ToB p.400,,
Vine blight, 1/2,Plant,N/A,Medium,NE,Forest,MM p.32,,
Vine lord,7    ,Plant,N/A,Medium,LN,"Forest, Swamp",ToB p.402-403,,
Vine troll skeleton,9    ,Plant,N/A,Large,Un,"Forest, Swamp",ToB p.351,,
Wampus cat,1    ,Monstrosity,N/A,Medium,CN,Forest,ToB p.405,,
Water leaper,4    ,Monstrosity,N/A,Large,Un,"Coastal, Forest, Underwater",ToB p.406,,
